trip,route,clients,sailling times,berth start,berth time
0,0,"[7, 47, 55, 50, 43, 49, 17]","[7.73, 2.91, 0.4, 0.23, 0.28, 1.8, 0.42, 7.53]",41.0,14.0
1,0,"[7, 47, 55, 50, 43, 49, 17]","[7.73, 2.91, 0.4, 0.23, 0.28, 1.8, 0.42, 7.53]",125.0,14.0
2,1,"[12, 32, 2, 37, 51]","[6.7, 1.04, 1.01, 0.57, 2.69, 8.53]",1.0,14.0
3,1,"[12, 32, 2, 37, 51]","[6.7, 1.04, 1.01, 0.57, 2.69, 8.53]",85.0,14.0
4,2,"[38, 10, 45, 59, 44, 5]","[6.17, 0.24, 0.6, 2.49, 0.79, 0.83, 6.84]",35.0,14.0
5,2,"[38, 10, 45, 59, 44, 5]","[6.17, 0.24, 0.6, 2.49, 0.79, 0.83, 6.84]",119.0,14.0
6,3,"[13, 30, 11, 33, 24, 42]","[7.97, 0.77, 1.74, 0.75, 1.02, 0.22, 7.35]",37.0,14.0
7,3,"[13, 30, 11, 33, 24, 42]","[7.97, 0.77, 1.74, 0.75, 1.02, 0.22, 7.35]",121.0,14.0
8,4,"[0, 21, 46, 35, 58, 25, 52]","[7.58, 0.98, 1.88, 0.2, 0.46, 0.58, 0.52, 4.95]",47.0,14.0
9,4,"[0, 21, 46, 35, 58, 25, 52]","[7.58, 0.98, 1.88, 0.2, 0.46, 0.58, 0.52, 4.95]",131.0,14.0
10,5,"[9, 41, 48, 28, 34, 8, 23]","[9.93, 1.09, 0.57, 0.2, 0.51, 1.56, 0.59, 7.65]",11.0,14.0
11,5,"[9, 41, 48, 28, 34, 8, 23]","[9.93, 1.09, 0.57, 0.2, 0.51, 1.56, 0.59, 7.65]",95.0,14.0
12,6,"[19, 20, 36, 6, 4]","[6.74, 1.87, 0.24, 1.98, 0.51, 7.72]",76.0,14.0
13,6,"[19, 20, 36, 6, 4]","[6.74, 1.87, 0.24, 1.98, 0.51, 7.72]",160.0,14.0
14,7,"[40, 27, 26, 1]","[9.4, 3.93, 2.79, 1.05, 8.57]",59.0,14.0
15,7,"[40, 27, 26, 1]","[9.4, 3.93, 2.79, 1.05, 8.57]",143.0,14.0
16,8,"[22, 16, 15, 39, 56, 54, 3]","[7.68, 2.32, 0.35, 1.93, 2.03, 0.55, 1.46, 7.44]",42.0,14.0
17,8,"[22, 16, 15, 39, 56, 54, 3]","[7.68, 2.32, 0.35, 1.93, 2.03, 0.55, 1.46, 7.44]",126.0,14.0
18,9,"[14, 31, 18, 53, 29, 57]","[8.12, 3.42, 0.82, 0.23, 0.46, 0.18, 7.94]",58.0,14.0
19,9,"[14, 31, 18, 53, 29, 57]","[8.12, 3.42, 0.82, 0.23, 0.46, 0.18, 7.94]",142.0,14.0
