request,product,quantity,client,cluster,duedate,refuse cost,delay cost
0,0,3,0,3,155,3.06,1.53
1,0,6,0,3,158,3.66,1.83
2,0,3,0,3,5,2.76,1.38
3,0,7,0,3,23,2.3,1.15
4,0,5,0,3,120,3.66,1.83
5,0,7,0,3,89,2.16,1.08
6,1,277,0,3,196,3.18,1.59
7,1,347,0,3,208,3.02,1.51
8,1,251,0,3,-59,5.76,2.88
9,1,374,0,3,97,4.38,2.19
10,1,230,0,3,70,4.48,2.24
11,1,294,0,3,2,3.22,1.61
12,2,270,0,3,4,4.2,2.1
13,2,455,0,3,27,4.18,2.09
14,2,266,0,3,50,4.88,2.44
15,2,455,0,3,119,3.54,1.77
16,2,177,0,3,223,3.12,1.56
17,2,319,0,3,61,2.84,1.42
18,2,252,0,3,120,3.6,1.8
19,3,191,0,3,158,4.06,2.03
20,3,252,0,3,27,4.16,2.08
21,3,347,0,3,-33,2.2,1.1
22,3,283,0,3,116,3.4,1.7
23,3,211,0,3,6,3.48,1.74
24,3,247,0,3,26,3.34,1.67
25,3,282,0,3,-12,4.02,2.01
26,3,242,0,3,98,4.1,2.05
27,3,251,0,3,-10,4.5,2.25
28,3,207,0,3,200,2.98,1.49
29,3,213,0,3,-12,2.72,1.36
30,3,277,0,3,219,3.34,1.67
31,3,202,0,3,53,3.9,1.95
32,3,221,0,3,165,1.22,0.61
33,3,277,0,3,118,1.04,0.52
34,3,152,0,3,11,3.26,1.63
35,0,3,1,20,32,3.42,1.71
36,1,204,1,20,99,3.18,1.59
37,1,306,1,20,108,3.82,1.91
38,1,138,1,20,206,4.66,2.33
39,1,188,1,20,137,1.8,0.9
40,1,157,1,20,61,0.92,0.46
41,2,264,1,20,51,3.24,1.62
42,2,214,1,20,3,3.54,1.77
43,2,151,1,20,74,3.48,1.74
44,2,320,1,20,109,4.12,2.06
45,3,165,1,20,221,2.78,1.39
46,3,359,1,20,-12,3.26,1.63
47,3,369,1,20,90,3.7,1.85
48,0,3,2,16,123,4.52,2.26
49,0,2,2,16,102,4.7,2.35
50,0,9,2,16,234,5.16,2.58
51,0,3,2,16,108,2.32,1.16
52,0,2,2,16,123,5.02,2.51
53,0,3,2,16,181,2.58,1.29
54,0,3,2,16,237,2.54,1.27
55,0,2,2,16,118,4.44,2.22
56,0,5,2,16,63,3.4,1.7
57,0,1,2,16,112,3.44,1.72
58,0,2,2,16,175,3.46,1.73
59,1,200,2,16,196,3.1,1.55
60,1,293,2,16,135,1.76,0.88
61,1,218,2,16,1,5.54,2.77
62,1,386,2,16,29,5.96,2.98
63,2,206,2,16,-65,4.18,2.09
64,2,197,2,16,241,4.74,2.37
65,2,252,2,16,119,3.8,1.9
66,2,168,2,16,72,1.84,0.92
67,0,6,3,16,153,3.22,1.61
68,0,2,3,16,67,3.66,1.83
69,1,216,3,16,105,1.9,0.95
70,1,177,3,16,215,2.76,1.38
71,1,246,3,16,183,2.62,1.31
72,1,242,3,16,110,4.22,2.11
73,2,281,3,16,-19,4.22,2.11
74,2,186,3,16,229,4.1,2.05
75,3,313,3,16,128,3.92,1.96
76,3,193,3,16,110,4.72,2.36
77,3,253,3,16,45,4.6,2.3
78,3,145,3,16,7,5.14,2.57
79,0,3,4,15,70,3.92,1.96
80,0,12,4,15,72,4.28,2.14
81,0,3,4,15,235,3.58,1.79
82,0,2,4,15,237,3.54,1.77
83,1,226,4,15,229,3.66,1.83
84,1,330,4,15,67,1.94,0.97
85,1,372,4,15,157,2.74,1.37
86,1,282,4,15,-48,2.9,1.45
87,2,322,4,15,-32,3.72,1.86
88,2,235,4,15,69,5.82,2.91
89,2,236,4,15,162,3.92,1.96
90,3,291,4,15,234,2.78,1.39
91,3,215,4,15,78,3.86,1.93
92,3,186,4,15,185,4.4,2.2
93,3,262,4,15,121,4.58,2.29
94,3,241,4,15,16,4.68,2.34
95,0,3,5,13,145,4.58,2.29
96,0,10,5,13,29,1.98,0.99
97,0,5,5,13,111,3.34,1.67
98,0,1,5,13,216,4.74,2.37
99,0,1,5,13,30,2.24,1.12
100,0,1,5,13,224,4.66,2.33
101,0,4,5,13,145,4.44,2.22
102,1,212,5,13,9,3.98,1.99
103,1,151,5,13,29,3.84,1.92
104,1,369,5,13,172,0.96,0.48
105,1,246,5,13,238,3.24,1.62
106,1,174,5,13,163,1.86,0.93
107,1,187,5,13,197,3.82,1.91
108,1,194,5,13,-21,3.16,1.58
109,1,149,5,13,120,3.18,1.59
110,2,337,5,13,74,3.92,1.96
111,2,144,5,13,220,5.0,2.5
112,2,478,5,13,194,4.7,2.35
113,2,251,5,13,169,4.28,2.14
114,2,232,5,13,-16,5.28,2.64
115,2,201,5,13,178,4.48,2.24
116,2,294,5,13,-47,4.3,2.15
117,2,233,5,13,124,3.54,1.77
118,2,164,5,13,138,5.24,2.62
119,2,257,5,13,205,3.76,1.88
120,3,230,5,13,3,4.4,2.2
121,3,319,5,13,237,3.98,1.99
122,3,135,5,13,156,3.08,1.54
123,3,315,5,13,24,3.18,1.59
124,3,194,5,13,214,3.72,1.86
125,0,6,6,14,140,5.18,2.59
126,0,4,6,14,123,4.42,2.21
127,0,3,6,14,211,1.94,0.97
128,0,3,6,14,93,3.06,1.53
129,0,2,6,14,138,2.5,1.25
130,1,220,6,14,164,3.56,1.78
131,1,130,6,14,142,1.78,0.89
132,1,236,6,14,227,2.34,1.17
133,1,427,6,14,115,3.84,1.92
134,1,218,6,14,-39,2.28,1.14
135,2,202,6,14,97,4.42,2.21
136,2,161,6,14,52,3.32,1.66
137,2,286,6,14,136,3.18,1.59
138,2,196,6,14,123,3.28,1.64
139,3,312,6,14,7,3.54,1.77
140,3,204,6,14,243,3.08,1.54
141,3,356,6,14,-6,2.94,1.47
142,3,301,6,14,166,3.62,1.81
143,0,3,7,20,199,2.72,1.36
144,0,2,7,20,191,3.96,1.98
145,0,2,7,20,93,3.92,1.96
146,0,1,7,20,108,4.28,2.14
147,1,243,7,20,118,4.52,2.26
148,1,298,7,20,121,4.5,2.25
149,1,135,7,20,99,4.28,2.14
150,1,203,7,20,141,5.0,2.5
151,2,385,7,20,147,3.92,1.96
152,2,190,7,20,152,2.76,1.38
153,2,245,7,20,65,4.42,2.21
154,2,178,7,20,198,3.92,1.96
155,2,224,7,20,127,4.48,2.24
156,2,236,7,20,-21,4.06,2.03
157,2,267,7,20,46,4.16,2.08
158,2,318,7,20,76,5.84,2.92
159,2,224,7,20,146,4.52,2.26
160,2,220,7,20,127,6.2,3.1
161,2,220,7,20,115,3.86,1.93
162,2,220,7,20,243,3.74,1.87
163,2,238,7,20,39,4.94,2.47
164,3,192,7,20,92,4.38,2.19
165,3,224,7,20,-14,3.48,1.74
166,3,171,7,20,86,5.34,2.67
167,0,1,8,4,213,4.64,2.32
168,0,1,8,4,194,4.04,2.02
169,0,1,8,4,39,2.7,1.35
170,0,3,8,4,34,2.58,1.29
171,0,3,8,4,18,4.58,2.29
172,0,2,8,4,116,3.5,1.75
173,1,157,8,4,187,3.54,1.77
174,1,281,8,4,99,0.58,0.29
175,2,159,8,4,125,3.3,1.65
176,2,195,8,4,-73,3.94,1.97
177,2,456,8,4,133,4.22,2.11
178,2,330,8,4,94,3.68,1.84
179,2,220,8,4,157,3.48,1.74
180,3,258,8,4,232,3.02,1.51
181,3,185,8,4,9,5.16,2.58
182,3,361,8,4,160,4.32,2.16
183,3,286,8,4,213,2.56,1.28
184,3,233,8,4,71,2.88,1.44
185,3,165,8,4,87,5.94,2.97
186,3,238,8,4,147,4.2,2.1
187,3,165,8,4,40,1.9,0.95
