trip,route,clients,sailling times,berth start,berth time
0,0,"[27, 109, 59, 33]","[7.06, 0.48, 3.4, 1.48, 7.47]",29.0,14.0
1,0,"[27, 109, 59, 33]","[7.06, 0.48, 3.4, 1.48, 7.47]",113.0,14.0
2,1,"[49, 11, 18, 9]","[7.33, 1.13, 4.09, 26.38, 8.4]",78.0,14.0
3,1,"[49, 11, 18, 9]","[7.33, 1.13, 4.09, 26.38, 8.4]",162.0,14.0
4,2,"[63, 119, 87, 102, 44]","[5.97, 2.64, 0.27, 0.75, 0.93, 5.88]",35.0,14.0
5,2,"[63, 119, 87, 102, 44]","[5.97, 2.64, 0.27, 0.75, 0.93, 5.88]",119.0,14.0
6,3,"[36, 61, 34, 0, 82, 71]","[4.52, 2.27, 1.88, 0.47, 0.65, 0.86, 5.42]",1.0,14.0
7,3,"[36, 61, 34, 0, 82, 71]","[4.52, 2.27, 1.88, 0.47, 0.65, 0.86, 5.42]",85.0,14.0
8,4,"[106, 8, 25, 91, 47, 92, 84]","[7.66, 0.5, 0.71, 1.1, 0.4, 1.92, 0.3, 5.57]",61.0,14.0
9,4,"[106, 8, 25, 91, 47, 92, 84]","[7.66, 0.5, 0.71, 1.1, 0.4, 1.92, 0.3, 5.57]",145.0,14.0
10,5,"[86, 95, 29, 30]","[8.85, 2.83, 1.68, 0.67, 5.51]",9.0,14.0
11,5,"[86, 95, 29, 30]","[8.85, 2.83, 1.68, 0.67, 5.51]",93.0,14.0
12,6,"[97, 48, 69, 12, 62]","[6.82, 1.16, 2.45, 2.11, 0.31, 7.12]",16.0,14.0
13,6,"[97, 48, 69, 12, 62]","[6.82, 1.16, 2.45, 2.11, 0.31, 7.12]",100.0,14.0
14,7,"[77, 28, 24, 101]","[9.6, 3.55, 0.38, 0.26, 7.55]",22.0,14.0
15,7,"[77, 28, 24, 101]","[9.6, 3.55, 0.38, 0.26, 7.55]",106.0,14.0
16,8,"[81, 39, 110, 43]","[7.36, 0.63, 1.16, 2.04, 7.38]",23.0,14.0
