vessel,capacity,eta
0,"[81, 1286, 1194, 1304]",41
1,"[80, 1179, 1391, 1163]",9
2,"[74, 1089, 1157, 1197]",21
3,"[74, 1284, 1252, 1198]",20
4,"[74, 1083, 1446, 911]",52
5,"[77, 1227, 1210, 1250]",4
6,"[82, 1263, 910, 1330]",6
7,"[72, 1281, 1150, 1311]",61
8,"[72, 1052, 1134, 1043]",22
9,"[66, 1012, 1256, 1331]",36
10,"[76, 1161, 1320, 1190]",12
11,"[82, 990, 1257, 1225]",42
12,"[88, 1295, 1204, 1183]",4
13,"[86, 1292, 886, 796]",9
14,"[91, 836, 1085, 1442]",32
15,"[78, 1253, 1254, 1132]",20
16,"[84, 1094, 1066, 1215]",17
17,"[66, 1394, 968, 1060]",71
18,"[85, 1462, 1221, 968]",12
19,"[78, 1223, 1040, 1354]",40
20,"[66, 1337, 1143, 1026]",14
21,"[81, 1286, 1194, 1304]",41
22,"[80, 1179, 1391, 1163]",9
23,"[74, 1089, 1157, 1197]",21
24,"[74, 1284, 1252, 1198]",20
25,"[74, 1083, 1446, 911]",52
26,"[77, 1227, 1210, 1250]",4
27,"[82, 1263, 910, 1330]",6
28,"[72, 1281, 1150, 1311]",61
29,"[72, 1052, 1134, 1043]",22
30,"[66, 1012, 1256, 1331]",36
31,"[76, 1161, 1320, 1190]",12
32,"[82, 990, 1257, 1225]",42
33,"[88, 1295, 1204, 1183]",4
34,"[86, 1292, 886, 796]",9
35,"[91, 836, 1085, 1442]",32
36,"[78, 1253, 1254, 1132]",20
37,"[84, 1094, 1066, 1215]",17
38,"[66, 1394, 968, 1060]",71
39,"[85, 1462, 1221, 968]",12
40,"[78, 1223, 1040, 1354]",40
41,"[66, 1337, 1143, 1026]",14
