trip,route,clients,sailling times,berth start,berth time
0,0,"[1, 7, 42, 41, 24, 12, 34, 30]","[9.0, 0.71, 3.72, 0.59, 4.41, 1.2, 1.55, 1.86, 7.55]",57.0,14.0
1,0,"[1, 7, 42, 41, 24, 12, 34, 30]","[9.0, 0.71, 3.72, 0.59, 4.41, 1.2, 1.55, 1.86, 7.55]",141.0,14.0
2,1,"[2, 52, 57, 16, 19]","[8.54, 0.34, 0.42, 1.38, 3.95, 7.31]",39.0,14.0
3,1,"[2, 52, 57, 16, 19]","[8.54, 0.34, 0.42, 1.38, 3.95, 7.31]",123.0,14.0
4,2,"[55, 22, 56, 48]","[8.44, 0.21, 0.2, 0.5, 8.32]",27.0,14.0
5,2,"[55, 22, 56, 48]","[8.44, 0.21, 0.2, 0.5, 8.32]",111.0,14.0
6,3,"[20, 37, 0, 47, 4, 49, 39]","[7.88, 0.77, 2.57, 0.74, 0.89, 1.05, 2.22, 7.99]",21.0,14.0
7,3,"[20, 37, 0, 47, 4, 49, 39]","[7.88, 0.77, 2.57, 0.74, 0.89, 1.05, 2.22, 7.99]",105.0,14.0
8,4,"[23, 29, 11, 28, 13]","[8.48, 0.31, 1.84, 0.52, 1.52, 6.76]",49.0,14.0
9,4,"[23, 29, 11, 28, 13]","[8.48, 0.31, 1.84, 0.52, 1.52, 6.76]",133.0,14.0
10,5,"[36, 18, 58, 38, 35]","[6.88, 1.99, 1.28, 0.6, 0.61, 8.55]",53.0,14.0
11,5,"[36, 18, 58, 38, 35]","[6.88, 1.99, 1.28, 0.6, 0.61, 8.55]",137.0,14.0
12,6,"[21, 3, 53, 46, 40, 31]","[9.32, 0.77, 0.17, 1.63, 0.22, 0.78, 7.81]",4.0,14.0
13,6,"[21, 3, 53, 46, 40, 31]","[9.32, 0.77, 0.17, 1.63, 0.22, 0.78, 7.81]",88.0,14.0
14,7,"[5, 54, 43, 45, 50, 8]","[7.33, 3.71, 1.36, 2.11, 1.53, 0.31, 6.82]",68.0,14.0
15,7,"[5, 54, 43, 45, 50, 8]","[7.33, 3.71, 1.36, 2.11, 1.53, 0.31, 6.82]",152.0,14.0
16,8,"[51, 25, 59, 32, 9]","[7.89, 0.62, 0.54, 0.38, 1.34, 8.48]",5.0,14.0
17,8,"[51, 25, 59, 32, 9]","[7.89, 0.62, 0.54, 0.38, 1.34, 8.48]",89.0,14.0
18,9,"[10, 26, 17, 15, 6]","[7.55, 1.88, 1.28, 0.49, 1.45, 8.66]",64.0,14.0
19,9,"[10, 26, 17, 15, 6]","[7.55, 1.88, 1.28, 0.49, 1.45, 8.66]",148.0,14.0
20,10,"[27, 33, 44, 14]","[9.98, 4.81, 0.59, 0.24, 7.39]",57.0,14.0
21,10,"[27, 33, 44, 14]","[9.98, 4.81, 0.59, 0.24, 7.39]",141.0,14.0
