vessel,capacity,eta
0,"[74, 1322]",57
1,"[75, 972]",3
2,"[83, 1119]",27
3,"[77, 1036]",11
4,"[74, 1302]",13
5,"[82, 1136]",52
6,"[92, 1134]",40
7,"[74, 935]",6
8,"[78, 1174]",53
9,"[83, 1103]",15
10,"[85, 1048]",27
11,"[100, 1052]",15
12,"[71, 1348]",3
13,"[70, 1211]",45
14,"[85, 999]",17
15,"[80, 1322]",37
16,"[83, 1305]",24
17,"[88, 1216]",13
18,"[86, 788]",13
19,"[74, 1322]",57
20,"[75, 972]",3
21,"[83, 1119]",27
22,"[77, 1036]",11
23,"[74, 1302]",13
24,"[82, 1136]",52
25,"[92, 1134]",40
26,"[74, 935]",6
27,"[78, 1174]",53
28,"[83, 1103]",15
29,"[85, 1048]",27
30,"[100, 1052]",15
31,"[71, 1348]",3
32,"[70, 1211]",45
33,"[85, 999]",17
34,"[80, 1322]",37
35,"[83, 1305]",24
36,"[88, 1216]",13
37,"[86, 788]",13
