trip,route,clients,sailling times,berth start,berth time
0,0,"[81, 92, 40, 3, 99, 36, 10]","[7.28, 0.11, 1.49, 0.69, 2.66, 0.89, 0.22, 7.34]",31.0,14.0
1,0,"[81, 92, 40, 3, 99, 36, 10]","[7.28, 0.11, 1.49, 0.69, 2.66, 0.89, 0.22, 7.34]",115.0,14.0
2,1,"[87, 15, 56, 98, 94, 29, 70, 39]","[8.06, 1.1, 4.4, 1.36, 0.38, 1.06, 0.37, 1.07, 8.17]",15.0,14.0
3,1,"[87, 15, 56, 98, 94, 29, 70, 39]","[8.06, 1.1, 4.4, 1.36, 0.38, 1.06, 0.37, 1.07, 8.17]",99.0,14.0
4,2,"[43, 12, 97, 6, 51, 89]","[7.39, 0.46, 0.69, 0.2, 2.34, 1.23, 8.36]",66.0,14.0
5,2,"[43, 12, 97, 6, 51, 89]","[7.39, 0.46, 0.69, 0.2, 2.34, 1.23, 8.36]",150.0,14.0
6,3,"[78, 32, 66, 26, 105, 50, 69]","[7.53, 0.77, 1.81, 0.59, 0.64, 0.23, 0.39, 7.69]",58.0,14.0
7,3,"[78, 32, 66, 26, 105, 50, 69]","[7.53, 0.77, 1.81, 0.59, 0.64, 0.23, 0.39, 7.69]",142.0,14.0
8,4,"[106, 1, 71, 0, 44, 73]","[6.65, 0.15, 0.51, 0.48, 1.37, 0.24, 8.4]",4.0,14.0
9,4,"[106, 1, 71, 0, 44, 73]","[6.65, 0.15, 0.51, 0.48, 1.37, 0.24, 8.4]",88.0,14.0
10,5,"[31, 112, 75, 108, 74]","[8.81, 0.24, 0.4, 1.97, 0.85, 8.57]",24.0,14.0
11,5,"[31, 112, 75, 108, 74]","[8.81, 0.24, 0.4, 1.97, 0.85, 8.57]",108.0,14.0
12,6,"[49, 91, 96, 119, 72]","[8.79, 2.29, 1.34, 0.71, 1.02, 4.98]",40.0,14.0
13,6,"[49, 91, 96, 119, 72]","[8.79, 2.29, 1.34, 0.71, 1.02, 4.98]",124.0,14.0
14,7,"[83, 102, 9, 53]","[8.61, 0.5, 0.82, 1.03, 7.1]",12.0,14.0
15,7,"[83, 102, 9, 53]","[8.61, 0.5, 0.82, 1.03, 7.1]",96.0,14.0
16,8,"[85, 35, 84, 13, 52]","[8.36, 0.29, 0.9, 1.38, 0.86, 6.35]",30.0,14.0
17,8,"[85, 35, 84, 13, 52]","[8.36, 0.29, 0.9, 1.38, 0.86, 6.35]",114.0,14.0
18,9,"[23, 55, 33, 65, 14]","[7.49, 0.69, 6.37, 1.33, 2.6, 8.16]",54.0,14.0
19,9,"[23, 55, 33, 65, 14]","[7.49, 0.69, 6.37, 1.33, 2.6, 8.16]",138.0,14.0
20,10,"[11, 59, 90, 86, 22]","[6.58, 0.47, 1.15, 1.92, 1.49, 4.88]",72.0,14.0
21,10,"[11, 59, 90, 86, 22]","[6.58, 0.47, 1.15, 1.92, 1.49, 4.88]",156.0,14.0
22,11,"[28, 114, 111, 41, 47, 76]","[6.75, 0.46, 2.04, 0.7, 0.25, 0.37, 7.37]",56.0,14.0
23,11,"[28, 114, 111, 41, 47, 76]","[6.75, 0.46, 2.04, 0.7, 0.25, 0.37, 7.37]",140.0,14.0
24,12,"[42, 67, 34, 68, 20, 24]","[6.55, 0.74, 0.48, 1.17, 1.52, 0.64, 6.06]",19.0,14.0
25,12,"[42, 67, 34, 68, 20, 24]","[6.55, 0.74, 0.48, 1.17, 1.52, 0.64, 6.06]",103.0,14.0
26,13,"[38, 95, 101, 82, 104, 18]","[6.92, 0.27, 2.0, 0.9, 0.54, 0.75, 7.46]",9.0,14.0
27,13,"[38, 95, 101, 82, 104, 18]","[6.92, 0.27, 2.0, 0.9, 0.54, 0.75, 7.46]",93.0,14.0
28,14,"[46, 21, 2, 79, 37, 116, 100]","[8.05, 0.65, 3.05, 2.6, 2.07, 0.21, 1.99, 7.74]",40.0,14.0
29,14,"[46, 21, 2, 79, 37, 116, 100]","[8.05, 0.65, 3.05, 2.6, 2.07, 0.21, 1.99, 7.74]",124.0,14.0
30,15,"[62, 30, 48, 25]","[8.66, 1.78, 0.89, 3.09, 7.06]",66.0,14.0
31,15,"[62, 30, 48, 25]","[8.66, 1.78, 0.89, 3.09, 7.06]",150.0,14.0
32,16,"[57, 16, 88, 54, 77]","[7.3, 1.41, 1.94, 0.25, 3.82, 9.54]",62.0,14.0
33,16,"[57, 16, 88, 54, 77]","[7.3, 1.41, 1.94, 0.25, 3.82, 9.54]",146.0,14.0
34,17,"[115, 117, 19, 7, 64, 113, 17]","[8.49, 1.51, 1.0, 0.58, 0.36, 2.96, 3.11, 7.41]",47.0,14.0
35,17,"[115, 117, 19, 7, 64, 113, 17]","[8.49, 1.51, 1.0, 0.58, 0.36, 2.96, 3.11, 7.41]",131.0,14.0
36,18,"[103, 107, 27, 118, 8]","[6.6, 1.12, 0.21, 1.05, 1.0, 6.81]",69.0,14.0
37,18,"[103, 107, 27, 118, 8]","[6.6, 1.12, 0.21, 1.05, 1.0, 6.81]",153.0,14.0
38,19,"[110, 109, 93, 60, 5]","[6.43, 1.49, 0.5, 0.67, 7.33, 6.5]",78.0,14.0
39,19,"[110, 109, 93, 60, 5]","[6.43, 1.49, 0.5, 0.67, 7.33, 6.5]",162.0,14.0
40,20,"[45, 61, 4, 63, 58, 80]","[6.11, 0.2, 1.49, 1.87, 0.37, 0.67, 7.35]",12.0,14.0
41,20,"[45, 61, 4, 63, 58, 80]","[6.11, 0.2, 1.49, 1.87, 0.37, 0.67, 7.35]",96.0,14.0
