request,product,quantity,client,cluster,duedate,refuse cost,delay cost
0,0,4,0,4,174,3.58,1.79
1,0,11,0,4,159,5.2,2.6
2,0,3,0,4,58,3.68,1.84
3,0,9,0,4,199,4.26,2.13
4,0,5,0,4,216,3.64,1.82
5,0,1,0,4,19,3.78,1.89
6,0,4,0,4,197,4.06,2.03
7,0,1,0,4,167,2.82,1.41
8,0,3,0,4,113,4.4,2.2
9,1,243,0,4,152,2.6,1.3
10,1,223,0,4,117,1.22,0.61
11,1,156,0,4,123,2.72,1.36
12,3,173,0,4,118,4.58,2.29
13,3,247,0,4,117,3.8,1.9
14,3,147,0,4,99,3.2,1.6
15,3,304,0,4,182,3.44,1.72
16,0,4,1,7,76,5.72,2.86
17,0,1,1,7,6,3.7,1.85
18,1,445,1,7,139,4.02,2.01
19,1,313,1,7,75,3.32,1.66
20,1,208,1,7,144,2.94,1.47
21,1,190,1,7,-25,3.46,1.73
22,2,331,1,7,212,4.68,2.34
23,2,370,1,7,34,3.48,1.74
24,2,244,1,7,35,3.12,1.56
25,2,313,1,7,208,3.34,1.67
26,2,159,1,7,18,4.46,2.23
27,3,144,1,7,74,4.92,2.46
28,3,160,1,7,216,3.9,1.95
29,3,191,1,7,129,4.28,2.14
30,3,236,1,7,39,2.26,1.13
31,3,231,1,7,58,4.1,2.05
32,3,236,1,7,88,3.34,1.67
33,3,242,1,7,139,4.04,2.02
34,3,438,1,7,-7,3.76,1.88
35,0,4,2,1,229,2.82,1.41
36,1,255,2,1,-57,5.68,2.84
37,1,248,2,1,137,4.28,2.14
38,1,165,2,1,245,4.02,2.01
39,1,302,2,1,231,4.28,2.14
40,1,319,2,1,221,1.86,0.93
41,2,304,2,1,61,3.9,1.95
42,2,273,2,1,-32,1.96,0.98
43,2,199,2,1,-38,2.36,1.18
44,2,190,2,1,212,2.06,1.03
45,2,123,2,1,108,5.42,2.71
46,2,261,2,1,34,3.92,1.96
47,2,197,2,1,69,2.28,1.14
48,3,237,2,1,130,4.52,2.26
49,3,232,2,1,5,3.58,1.79
50,3,166,2,1,109,3.84,1.92
51,3,173,2,1,86,4.74,2.37
52,3,257,2,1,133,3.52,1.76
53,0,3,3,8,178,3.36,1.68
54,0,8,3,8,31,3.98,1.99
55,0,2,3,8,-4,1.98,0.99
56,0,6,3,8,184,5.54,2.77
57,0,3,3,8,-15,3.72,1.86
58,0,3,3,8,160,2.38,1.19
59,0,2,3,8,99,5.4,2.7
60,0,3,3,8,65,5.94,2.97
61,0,2,3,8,61,4.38,2.19
62,0,1,3,8,-52,4.24,2.12
63,1,196,3,8,106,5.0,2.5
64,1,274,3,8,143,2.62,1.31
65,1,355,3,8,1,3.66,1.83
66,1,206,3,8,182,2.96,1.48
67,2,197,3,8,240,4.04,2.02
68,2,241,3,8,197,3.62,1.81
69,2,260,3,8,89,3.54,1.77
70,2,330,3,8,122,3.1,1.55
71,3,171,3,8,126,3.72,1.86
72,3,167,3,8,184,1.56,0.78
73,3,199,3,8,8,3.8,1.9
74,3,223,3,8,209,4.5,2.25
75,3,412,3,8,-48,2.16,1.08
76,3,243,3,8,35,4.84,2.42
77,3,299,3,8,-1,4.24,2.12
78,3,238,3,8,148,3.54,1.77
79,3,223,3,8,243,2.12,1.06
80,3,597,3,8,99,3.28,1.64
81,3,305,3,8,-56,2.56,1.28
82,0,9,4,6,-4,1.8,0.9
83,0,4,4,6,96,3.52,1.76
84,1,250,4,6,213,4.02,2.01
85,1,270,4,6,82,4.5,2.25
86,1,331,4,6,0,2.56,1.28
87,1,384,4,6,-38,2.14,1.07
88,1,224,4,6,195,2.02,1.01
89,1,177,4,6,142,2.64,1.32
90,1,257,4,6,173,3.8,1.9
91,1,315,4,6,68,1.16,0.58
