vessel,capacity,eta
0,"[83, 1350, 1176, 1366]",26
1,"[83, 1057, 1287, 887]",21
2,"[75, 1371, 1105, 1263]",11
3,"[88, 1007, 961, 1122]",6
4,"[75, 1131, 837, 1180]",31
5,"[84, 1140, 985, 907]",8
6,"[90, 937, 1293, 1179]",21
7,"[93, 1124, 1372, 926]",26
8,"[65, 1213, 972, 1145]",17
9,"[100, 923, 1128, 1231]",40
10,"[86, 887, 1133, 1035]",11
11,"[80, 1384, 1024, 1335]",34
12,"[78, 877, 1381, 929]",43
13,"[86, 1098, 1255, 1139]",1
14,"[83, 1350, 1176, 1366]",26
15,"[83, 1057, 1287, 887]",21
16,"[75, 1371, 1105, 1263]",11
17,"[88, 1007, 961, 1122]",6
18,"[75, 1131, 837, 1180]",31
19,"[84, 1140, 985, 907]",8
20,"[90, 937, 1293, 1179]",21
21,"[93, 1124, 1372, 926]",26
22,"[65, 1213, 972, 1145]",17
23,"[100, 923, 1128, 1231]",40
24,"[86, 887, 1133, 1035]",11
25,"[80, 1384, 1024, 1335]",34
26,"[78, 877, 1381, 929]",43
27,"[86, 1098, 1255, 1139]",1
