vessel,capacity,eta
0,"[80, 1426, 974]",38
1,"[66, 1423, 1298]",59
2,"[86, 749, 1230]",48
3,"[94, 1424, 1190]",46
4,"[78, 1262, 1045]",39
5,"[83, 1162, 1393]",35
6,"[75, 1064, 915]",39
7,"[85, 1007, 1401]",8
8,"[63, 1345, 956]",21
9,"[74, 1265, 1055]",19
10,"[82, 1289, 1247]",16
11,"[69, 1198, 1088]",22
12,"[78, 1346, 1044]",7
13,"[80, 983, 999]",2
14,"[80, 1426, 974]",38
15,"[66, 1423, 1298]",59
16,"[86, 749, 1230]",48
17,"[94, 1424, 1190]",46
18,"[78, 1262, 1045]",39
19,"[83, 1162, 1393]",35
20,"[75, 1064, 915]",39
21,"[85, 1007, 1401]",8
22,"[63, 1345, 956]",21
23,"[74, 1265, 1055]",19
24,"[82, 1289, 1247]",16
25,"[69, 1198, 1088]",22
26,"[78, 1346, 1044]",7
27,"[80, 983, 999]",2
