trip,route,clients,sailling times,berth start,berth time
0,0,"[12, 3, 20, 8, 26, 2, 0]","[5.41, 0.87, 1.53, 0.34, 0.56, 7.86, 0.35, 6.07]",51.0,14.0
1,0,"[12, 3, 20, 8, 26, 2, 0]","[5.41, 0.87, 1.53, 0.34, 0.56, 7.86, 0.35, 6.07]",135.0,14.0
2,1,"[19, 27, 16, 18]","[7.62, 1.21, 1.71, 0.6, 7.93]",59.0,14.0
3,1,"[19, 27, 16, 18]","[7.62, 1.21, 1.71, 0.6, 7.93]",143.0,14.0
4,2,"[5, 10, 24, 4, 28, 11, 13]","[8.64, 0.18, 3.49, 0.14, 0.65, 1.5, 1.64, 6.07]",23.0,14.0
5,2,"[5, 10, 24, 4, 28, 11, 13]","[8.64, 0.18, 3.49, 0.14, 0.65, 1.5, 1.64, 6.07]",107.0,14.0
6,3,"[9, 21, 7, 23, 25, 22, 15]","[6.55, 3.21, 2.0, 1.57, 0.87, 2.38, 3.71, 6.7]",61.0,14.0
7,3,"[9, 21, 7, 23, 25, 22, 15]","[6.55, 3.21, 2.0, 1.57, 0.87, 2.38, 3.71, 6.7]",145.0,14.0
8,4,"[17, 6, 14, 1, 29]","[7.69, 1.73, 0.62, 1.05, 0.24, 8.28]",63.0,14.0
9,4,"[17, 6, 14, 1, 29]","[7.69, 1.73, 0.62, 1.05, 0.24, 8.28]",147.0,14.0
