vessel,capacity,eta
0,"[78, 1333, 1138]",43
1,"[78, 1268, 1263]",41
2,"[69, 1176, 1363]",9
3,"[85, 1443, 1197]",28
4,"[74, 1242, 1182]",19
5,"[73, 1412, 1209]",42
6,"[76, 843, 1241]",18
7,"[68, 1080, 1225]",51
8,"[100, 1123, 1272]",18
9,"[85, 1060, 954]",34
10,"[85, 991, 857]",65
11,"[73, 933, 1350]",67
12,"[92, 1132, 1033]",12
13,"[91, 975, 1237]",19
14,"[74, 714, 1354]",62
15,"[78, 829, 1167]",2
16,"[76, 1351, 1108]",23
17,"[78, 1333, 1138]",43
18,"[78, 1268, 1263]",41
19,"[69, 1176, 1363]",9
20,"[85, 1443, 1197]",28
21,"[74, 1242, 1182]",19
22,"[73, 1412, 1209]",42
23,"[76, 843, 1241]",18
24,"[68, 1080, 1225]",51
25,"[100, 1123, 1272]",18
26,"[85, 1060, 954]",34
27,"[85, 991, 857]",65
28,"[73, 933, 1350]",67
29,"[92, 1132, 1033]",12
30,"[91, 975, 1237]",19
31,"[74, 714, 1354]",62
32,"[78, 829, 1167]",2
33,"[76, 1351, 1108]",23
