trip,route,clients,sailling times,berth start,berth time
0,0,"[1, 21, 14, 43, 39, 49]","[6.42, 2.22, 1.82, 1.11, 3.47, 0.41, 8.92]",10.0,14.0
1,0,"[1, 21, 14, 43, 39, 49]","[6.42, 2.22, 1.82, 1.11, 3.47, 0.41, 8.92]",94.0,14.0
2,1,"[36, 9, 19, 42, 12, 53, 13]","[7.17, 5.6, 2.33, 1.24, 1.29, 0.57, 2.76, 7.47]",75.0,14.0
3,1,"[36, 9, 19, 42, 12, 53, 13]","[7.17, 5.6, 2.33, 1.24, 1.29, 0.57, 2.76, 7.47]",159.0,14.0
4,2,"[51, 10, 3, 29]","[8.24, 4.31, 1.88, 1.52, 7.27]",5.0,14.0
5,2,"[51, 10, 3, 29]","[8.24, 4.31, 1.88, 1.52, 7.27]",89.0,14.0
6,3,"[11, 50, 47, 58, 31]","[9.05, 1.63, 2.09, 0.16, 3.93, 7.33]",60.0,14.0
7,3,"[11, 50, 47, 58, 31]","[9.05, 1.63, 2.09, 0.16, 3.93, 7.33]",144.0,14.0
8,4,"[7, 5, 20, 37, 46, 44]","[8.61, 1.26, 0.82, 0.79, 2.51, 1.65, 8.04]",6.0,14.0
9,4,"[7, 5, 20, 37, 46, 44]","[8.61, 1.26, 0.82, 0.79, 2.51, 1.65, 8.04]",90.0,14.0
10,5,"[30, 27, 0, 55, 23]","[8.03, 0.71, 1.7, 0.63, 0.68, 7.5]",76.0,14.0
11,5,"[30, 27, 0, 55, 23]","[8.03, 0.71, 1.7, 0.63, 0.68, 7.5]",160.0,14.0
12,6,"[59, 54, 2, 15, 38]","[7.49, 0.97, 2.37, 1.05, 1.62, 7.3]",74.0,14.0
13,6,"[59, 54, 2, 15, 38]","[7.49, 0.97, 2.37, 1.05, 1.62, 7.3]",158.0,14.0
14,7,"[35, 26, 34, 6]","[7.51, 0.59, 3.97, 2.23, 6.4]",46.0,14.0
15,7,"[35, 26, 34, 6]","[7.51, 0.59, 3.97, 2.23, 6.4]",130.0,14.0
16,8,"[8, 25, 18, 41, 45, 16]","[8.43, 1.55, 0.3, 0.4, 0.66, 1.88, 6.59]",31.0,14.0
17,8,"[8, 25, 18, 41, 45, 16]","[8.43, 1.55, 0.3, 0.4, 0.66, 1.88, 6.59]",115.0,14.0
18,9,"[17, 56, 24, 28]","[10.34, 0.44, 0.76, 4.99, 7.17]",33.0,14.0
19,9,"[17, 56, 24, 28]","[10.34, 0.44, 0.76, 4.99, 7.17]",117.0,14.0
20,10,"[52, 32, 4, 40]","[7.74, 1.22, 0.35, 2.0, 6.2]",22.0,14.0
21,10,"[52, 32, 4, 40]","[7.74, 1.22, 0.35, 2.0, 6.2]",106.0,14.0
22,11,"[22, 48, 57, 33]","[7.04, 1.34, 0.32, 1.26, 7.09]",65.0,14.0
23,11,"[22, 48, 57, 33]","[7.04, 1.34, 0.32, 1.26, 7.09]",149.0,14.0
