trip,route,clients,sailling times,berth start,berth time
0,0,"[26, 29, 11, 1, 30, 50, 41]","[8.38, 0.45, 0.25, 0.17, 0.75, 0.75, 4.14, 6.74]",6.0,14.0
1,0,"[26, 29, 11, 1, 30, 50, 41]","[8.38, 0.45, 0.25, 0.17, 0.75, 0.75, 4.14, 6.74]",90.0,14.0
2,1,"[35, 55, 20, 82, 18, 31, 37]","[6.8, 0.11, 1.6, 1.36, 1.58, 1.3, 0.27, 8.01]",37.0,14.0
3,1,"[35, 55, 20, 82, 18, 31, 37]","[6.8, 0.11, 1.6, 1.36, 1.58, 1.3, 0.27, 8.01]",121.0,14.0
4,2,"[87, 32, 52, 68, 49, 38, 10, 5]","[6.91, 0.16, 1.14, 0.23, 2.14, 1.75, 2.19, 2.75, 6.03]",78.0,14.0
5,2,"[87, 32, 52, 68, 49, 38, 10, 5]","[6.91, 0.16, 1.14, 0.23, 2.14, 1.75, 2.19, 2.75, 6.03]",162.0,14.0
6,3,"[39, 24, 75, 43, 46, 79]","[7.42, 2.22, 1.19, 1.79, 1.8, 0.19, 9.1]",15.0,14.0
7,3,"[39, 24, 75, 43, 46, 79]","[7.42, 2.22, 1.19, 1.79, 1.8, 0.19, 9.1]",99.0,14.0
8,4,"[23, 28, 73, 80, 9]","[7.5, 1.05, 1.0, 0.21, 1.77, 7.38]",76.0,14.0
9,4,"[23, 28, 73, 80, 9]","[7.5, 1.05, 1.0, 0.21, 1.77, 7.38]",160.0,14.0
10,5,"[0, 63, 65, 4]","[8.1, 2.41, 0.57, 1.22, 7.76]",6.0,14.0
11,5,"[0, 63, 65, 4]","[8.1, 2.41, 0.57, 1.22, 7.76]",90.0,14.0
12,6,"[51, 33, 58, 66, 77, 14, 47]","[4.4, 2.97, 0.32, 0.41, 0.73, 3.28, 0.24, 8.94]",37.0,14.0
13,6,"[51, 33, 58, 66, 77, 14, 47]","[4.4, 2.97, 0.32, 0.41, 0.73, 3.28, 0.24, 8.94]",121.0,14.0
14,7,"[78, 2, 81, 36]","[6.92, 0.92, 1.25, 0.62, 8.25]",71.0,14.0
15,7,"[78, 2, 81, 36]","[6.92, 0.92, 1.25, 0.62, 8.25]",155.0,14.0
16,8,"[8, 59, 17, 67]","[8.37, 1.43, 1.82, 0.62, 9.48]",10.0,14.0
17,8,"[8, 59, 17, 67]","[8.37, 1.43, 1.82, 0.62, 9.48]",94.0,14.0
18,9,"[89, 3, 76, 74]","[6.62, 0.57, 0.63, 0.52, 5.94]",44.0,14.0
19,9,"[89, 3, 76, 74]","[6.62, 0.57, 0.63, 0.52, 5.94]",128.0,14.0
20,10,"[15, 16, 83, 22, 42]","[9.25, 1.33, 1.86, 0.69, 3.42, 7.79]",49.0,14.0
21,10,"[15, 16, 83, 22, 42]","[9.25, 1.33, 1.86, 0.69, 3.42, 7.79]",133.0,14.0
22,11,"[69, 88, 62, 34, 61, 7]","[7.41, 6.95, 3.91, 1.99, 1.27, 2.47, 8.46]",13.0,14.0
23,11,"[69, 88, 62, 34, 61, 7]","[7.41, 6.95, 3.91, 1.99, 1.27, 2.47, 8.46]",97.0,14.0
24,12,"[40, 71, 64, 12, 27, 45]","[6.73, 9.25, 0.96, 7.9, 0.21, 1.02, 7.68]",64.0,14.0
25,12,"[40, 71, 64, 12, 27, 45]","[6.73, 9.25, 0.96, 7.9, 0.21, 1.02, 7.68]",148.0,14.0
26,13,"[60, 21, 56, 44, 13, 19, 86]","[7.03, 0.62, 0.18, 3.0, 0.61, 0.92, 6.88, 6.27]",37.0,14.0
27,13,"[60, 21, 56, 44, 13, 19, 86]","[7.03, 0.62, 0.18, 3.0, 0.61, 0.92, 6.88, 6.27]",121.0,14.0
28,14,"[54, 72, 53, 25, 48, 85]","[7.07, 0.41, 0.65, 0.85, 0.34, 1.01, 9.91]",16.0,14.0
29,14,"[54, 72, 53, 25, 48, 85]","[7.07, 0.41, 0.65, 0.85, 0.34, 1.01, 9.91]",100.0,14.0
30,15,"[84, 70, 57, 6]","[7.0, 1.98, 0.28, 0.73, 7.44]",6.0,14.0
31,15,"[84, 70, 57, 6]","[7.0, 1.98, 0.28, 0.73, 7.44]",90.0,14.0
