vessel,capacity,eta
0,"[85, 1072, 1235]",24
1,"[88, 1163, 1028]",67
2,"[84, 976, 1406]",28
3,"[84, 843, 1211]",27
4,"[71, 1329, 1206]",47
5,"[98, 1179, 1039]",21
6,"[94, 1248, 858]",11
7,"[105, 1038, 1413]",34
8,"[68, 1389, 1077]",14
9,"[76, 1189, 892]",35
10,"[79, 1056, 1384]",25
11,"[89, 1115, 1464]",10
12,"[87, 980, 980]",5
13,"[81, 1327, 1116]",38
14,"[73, 1007, 1423]",13
15,"[79, 1195, 1080]",31
16,"[79, 1303, 1024]",32
17,"[80, 1332, 954]",14
18,"[77, 748, 1151]",41
19,"[75, 1325, 1013]",54
20,"[84, 1433, 1270]",37
21,"[68, 1127, 1089]",24
22,"[98, 1415, 1259]",3
23,"[76, 1203, 1000]",19
24,"[85, 1072, 1235]",24
25,"[88, 1163, 1028]",67
26,"[84, 976, 1406]",28
27,"[84, 843, 1211]",27
28,"[71, 1329, 1206]",47
29,"[98, 1179, 1039]",21
30,"[94, 1248, 858]",11
31,"[105, 1038, 1413]",34
32,"[68, 1389, 1077]",14
33,"[76, 1189, 892]",35
34,"[79, 1056, 1384]",25
35,"[89, 1115, 1464]",10
36,"[87, 980, 980]",5
37,"[81, 1327, 1116]",38
38,"[73, 1007, 1423]",13
39,"[79, 1195, 1080]",31
40,"[79, 1303, 1024]",32
41,"[80, 1332, 954]",14
42,"[77, 748, 1151]",41
43,"[75, 1325, 1013]",54
44,"[84, 1433, 1270]",37
45,"[68, 1127, 1089]",24
46,"[98, 1415, 1259]",3
47,"[76, 1203, 1000]",19
