vessel,capacity,eta
0,"[75, 984]",58
1,"[77, 1182]",17
2,"[84, 1037]",40
3,"[64, 1006]",50
4,"[83, 1318]",11
5,"[89, 1127]",16
6,"[86, 1143]",17
7,"[73, 1324]",47
8,"[70, 1063]",40
9,"[80, 1093]",20
10,"[71, 1415]",62
11,"[80, 1209]",33
12,"[80, 1203]",31
13,"[86, 791]",31
14,"[69, 1003]",41
15,"[71, 1409]",12
16,"[65, 1400]",44
17,"[73, 1187]",19
18,"[73, 1322]",30
19,"[73, 1145]",43
20,"[79, 1161]",11
21,"[71, 1233]",37
22,"[75, 984]",58
23,"[77, 1182]",17
24,"[84, 1037]",40
25,"[64, 1006]",50
26,"[83, 1318]",11
27,"[89, 1127]",16
28,"[86, 1143]",17
29,"[73, 1324]",47
30,"[70, 1063]",40
31,"[80, 1093]",20
32,"[71, 1415]",62
33,"[80, 1209]",33
34,"[80, 1203]",31
35,"[86, 791]",31
36,"[69, 1003]",41
37,"[71, 1409]",12
38,"[65, 1400]",44
39,"[73, 1187]",19
40,"[73, 1322]",30
41,"[73, 1145]",43
42,"[79, 1161]",11
43,"[71, 1233]",37
