trip,route,clients,sailling times,berth start,berth time
0,0,"[5, 27, 24, 85, 72, 54]","[7.78, 0.54, 1.81, 5.09, 2.26, 0.47, 5.52]",46.0,14.0
1,0,"[5, 27, 24, 85, 72, 54]","[7.78, 0.54, 1.81, 5.09, 2.26, 0.47, 5.52]",130.0,14.0
2,1,"[19, 1, 78, 65, 11, 71]","[6.61, 3.33, 0.57, 1.64, 3.65, 0.63, 8.74]",27.0,14.0
3,1,"[19, 1, 78, 65, 11, 71]","[6.61, 3.33, 0.57, 1.64, 3.65, 0.63, 8.74]",111.0,14.0
4,2,"[34, 37, 79, 80, 73]","[6.97, 0.34, 1.7, 1.87, 0.17, 6.37]",9.0,14.0
5,2,"[34, 37, 79, 80, 73]","[6.97, 0.34, 1.7, 1.87, 0.17, 6.37]",93.0,14.0
6,3,"[22, 58, 70, 28, 0, 29]","[7.6, 1.07, 2.81, 0.22, 0.25, 1.3, 8.27]",48.0,14.0
7,3,"[22, 58, 70, 28, 0, 29]","[7.6, 1.07, 2.81, 0.22, 0.25, 1.3, 8.27]",132.0,14.0
8,4,"[45, 74, 18, 84, 49, 69, 7]","[6.61, 1.93, 1.69, 1.35, 0.27, 0.86, 5.4, 8.26]",74.0,14.0
9,4,"[45, 74, 18, 84, 49, 69, 7]","[6.61, 1.93, 1.69, 1.35, 0.27, 0.86, 5.4, 8.26]",158.0,14.0
10,5,"[89, 10, 51, 63, 17, 8]","[6.04, 1.45, 1.16, 1.53, 0.62, 0.87, 7.55]",3.0,14.0
11,5,"[89, 10, 51, 63, 17, 8]","[6.04, 1.45, 1.16, 1.53, 0.62, 0.87, 7.55]",87.0,14.0
12,6,"[36, 2, 25, 68, 43, 87, 3]","[8.26, 0.66, 2.01, 0.84, 1.19, 3.58, 1.22, 7.28]",52.0,14.0
13,6,"[36, 2, 25, 68, 43, 87, 3]","[8.26, 0.66, 2.01, 0.84, 1.19, 3.58, 1.22, 7.28]",136.0,14.0
14,7,"[31, 46, 55, 50, 32, 15]","[8.11, 0.35, 1.49, 0.91, 1.48, 0.4, 7.75]",58.0,14.0
15,7,"[31, 46, 55, 50, 32, 15]","[8.11, 0.35, 1.49, 0.91, 1.48, 0.4, 7.75]",142.0,14.0
16,8,"[9, 16, 42, 82, 88, 40, 41]","[7.97, 0.66, 0.31, 2.6, 0.99, 2.39, 0.48, 6.64]",60.0,14.0
17,8,"[9, 16, 42, 82, 88, 40, 41]","[7.97, 0.66, 0.31, 2.6, 0.99, 2.39, 0.48, 6.64]",144.0,14.0
18,9,"[86, 30, 83, 6, 66, 26, 14]","[8.34, 1.06, 0.38, 1.31, 1.33, 2.93, 0.79, 7.42]",71.0,14.0
19,9,"[86, 30, 83, 6, 66, 26, 14]","[8.34, 1.06, 0.38, 1.31, 1.33, 2.93, 0.79, 7.42]",155.0,14.0
20,10,"[12, 75, 48, 35]","[6.95, 1.33, 0.62, 2.15, 7.92]",28.0,14.0
21,10,"[12, 75, 48, 35]","[6.95, 1.33, 0.62, 2.15, 7.92]",112.0,14.0
22,11,"[64, 33, 39, 53]","[6.4, 0.75, 0.35, 1.85, 8.55]",38.0,14.0
23,11,"[64, 33, 39, 53]","[6.4, 0.75, 0.35, 1.85, 8.55]",122.0,14.0
24,12,"[77, 21, 13, 60, 76, 52, 61]","[8.17, 0.87, 0.33, 1.59, 0.84, 3.37, 1.74, 8.98]",74.0,14.0
25,12,"[77, 21, 13, 60, 76, 52, 61]","[8.17, 0.87, 0.33, 1.59, 0.84, 3.37, 1.74, 8.98]",158.0,14.0
26,13,"[56, 47, 20, 81, 67, 59, 57]","[7.2, 1.81, 0.65, 0.7, 0.36, 2.28, 0.53, 7.88]",1.0,14.0
27,13,"[56, 47, 20, 81, 67, 59, 57]","[7.2, 1.81, 0.65, 0.7, 0.36, 2.28, 0.53, 7.88]",85.0,14.0
28,14,"[4, 62, 44, 23, 38]","[7.92, 1.28, 0.53, 3.34, 1.01, 7.58]",49.0,14.0
29,14,"[4, 62, 44, 23, 38]","[7.92, 1.28, 0.53, 3.34, 1.01, 7.58]",133.0,14.0
