trip,route,clients,sailling times,berth start,berth time
0,0,"[55, 6, 79, 46, 17, 32, 10]","[7.64, 0.44, 0.38, 1.06, 0.57, 0.4, 4.28, 8.01]",33.0,14.0
1,0,"[55, 6, 79, 46, 17, 32, 10]","[7.64, 0.44, 0.38, 1.06, 0.57, 0.4, 4.28, 8.01]",117.0,14.0
2,1,"[86, 82, 4, 47, 19]","[6.95, 2.21, 0.8, 0.83, 0.84, 6.17]",14.0,14.0
3,1,"[86, 82, 4, 47, 19]","[6.95, 2.21, 0.8, 0.83, 0.84, 6.17]",98.0,14.0
4,2,"[84, 64, 11, 60, 13]","[7.85, 1.39, 1.6, 1.07, 3.53, 8.6]",37.0,14.0
5,2,"[84, 64, 11, 60, 13]","[7.85, 1.39, 1.6, 1.07, 3.53, 8.6]",121.0,14.0
6,3,"[5, 52, 15, 80, 14]","[5.9, 1.82, 1.49, 0.72, 0.8, 7.43]",67.0,14.0
7,3,"[5, 52, 15, 80, 14]","[5.9, 1.82, 1.49, 0.72, 0.8, 7.43]",151.0,14.0
8,4,"[3, 0, 35, 40, 37, 44, 81]","[7.92, 1.18, 0.95, 1.83, 1.84, 0.22, 4.91, 7.2]",55.0,14.0
9,4,"[3, 0, 35, 40, 37, 44, 81]","[7.92, 1.18, 0.95, 1.83, 1.84, 0.22, 4.91, 7.2]",139.0,14.0
10,5,"[61, 65, 78, 28]","[8.39, 1.15, 0.59, 0.59, 8.01]",31.0,14.0
11,5,"[61, 65, 78, 28]","[8.39, 1.15, 0.59, 0.59, 8.01]",115.0,14.0
12,6,"[75, 50, 12, 29, 33, 22, 25]","[9.13, 0.32, 0.42, 0.41, 0.47, 1.58, 1.68, 7.83]",52.0,14.0
13,6,"[75, 50, 12, 29, 33, 22, 25]","[9.13, 0.32, 0.42, 0.41, 0.47, 1.58, 1.68, 7.83]",136.0,14.0
14,7,"[45, 43, 59, 34, 9, 51]","[6.42, 0.88, 0.36, 0.59, 0.27, 0.22, 9.57]",47.0,14.0
15,7,"[45, 43, 59, 34, 9, 51]","[6.42, 0.88, 0.36, 0.59, 0.27, 0.22, 9.57]",131.0,14.0
16,8,"[2, 74, 36, 21, 18]","[7.39, 0.38, 0.38, 0.55, 0.33, 6.05]",70.0,14.0
17,8,"[2, 74, 36, 21, 18]","[7.39, 0.38, 0.38, 0.55, 0.33, 6.05]",154.0,14.0
18,9,"[83, 56, 77, 62]","[5.23, 1.04, 2.67, 3.14, 7.1]",50.0,14.0
19,9,"[83, 56, 77, 62]","[5.23, 1.04, 2.67, 3.14, 7.1]",134.0,14.0
20,10,"[88, 89, 16, 20]","[8.05, 2.38, 0.43, 1.91, 7.46]",35.0,14.0
21,10,"[88, 89, 16, 20]","[8.05, 2.38, 0.43, 1.91, 7.46]",119.0,14.0
22,11,"[87, 8, 57, 7]","[8.07, 0.47, 0.37, 0.25, 7.16]",18.0,14.0
23,11,"[87, 8, 57, 7]","[8.07, 0.47, 0.37, 0.25, 7.16]",102.0,14.0
24,12,"[53, 63, 41, 27, 48]","[7.77, 1.11, 0.84, 1.0, 0.1, 6.81]",16.0,14.0
25,12,"[53, 63, 41, 27, 48]","[7.77, 1.11, 0.84, 1.0, 0.1, 6.81]",100.0,14.0
26,13,"[24, 39, 73, 49]","[4.86, 1.85, 5.19, 2.03, 6.0]",32.0,14.0
27,13,"[24, 39, 73, 49]","[4.86, 1.85, 5.19, 2.03, 6.0]",116.0,14.0
28,14,"[1, 38, 76, 69, 58, 23, 67]","[7.0, 0.55, 0.71, 1.6, 1.36, 0.5, 0.96, 7.18]",8.0,14.0
29,14,"[1, 38, 76, 69, 58, 23, 67]","[7.0, 0.55, 0.71, 1.6, 1.36, 0.5, 0.96, 7.18]",92.0,14.0
30,15,"[66, 26, 31, 71, 42, 85, 30]","[7.47, 2.95, 0.95, 0.4, 0.46, 0.35, 0.32, 7.11]",18.0,14.0
31,15,"[66, 26, 31, 71, 42, 85, 30]","[7.47, 2.95, 0.95, 0.4, 0.46, 0.35, 0.32, 7.11]",102.0,14.0
32,16,"[70, 68, 72, 54]","[9.31, 0.64, 1.52, 0.71, 6.27]",64.0,14.0
33,16,"[70, 68, 72, 54]","[9.31, 0.64, 1.52, 0.71, 6.27]",148.0,14.0
