vessel,capacity,eta
0,[85],21
1,[78],46
2,[86],32
3,[71],42
4,[74],23
5,[78],2
6,[67],36
7,[93],7
8,[86],9
9,[84],18
10,[92],33
11,[84],25
12,[85],24
13,[71],3
14,[78],14
15,[86],27
16,[88],17
17,[84],56
18,[74],11
19,[71],16
20,[79],14
21,[86],39
22,[74],22
23,[98],19
24,[90],15
25,[85],21
26,[78],46
27,[86],32
28,[71],42
29,[74],23
30,[78],2
31,[67],36
32,[93],7
33,[86],9
34,[84],18
35,[92],33
36,[84],25
37,[85],24
38,[71],3
39,[78],14
40,[86],27
41,[88],17
42,[84],56
43,[74],11
44,[71],16
45,[79],14
46,[86],39
47,[74],22
48,[98],19
49,[90],15
