trip,route,clients,sailling times,berth start,berth time
0,0,"[29, 28, 3, 22, 27, 2, 6]","[8.36, 0.26, 3.25, 0.39, 0.28, 1.75, 0.61, 5.92]",38.0,14.0
1,0,"[29, 28, 3, 22, 27, 2, 6]","[8.36, 0.26, 3.25, 0.39, 0.28, 1.75, 0.61, 5.92]",122.0,14.0
2,1,"[1, 7, 26, 23, 14, 0]","[7.81, 2.61, 2.25, 5.01, 1.52, 0.49, 4.58]",24.0,14.0
3,1,"[1, 7, 26, 23, 14, 0]","[7.81, 2.61, 2.25, 5.01, 1.52, 0.49, 4.58]",108.0,14.0
4,2,"[18, 16, 13, 25, 11, 5]","[7.89, 0.56, 1.82, 0.63, 0.16, 0.46, 8.59]",67.0,14.0
5,2,"[18, 16, 13, 25, 11, 5]","[7.89, 0.56, 1.82, 0.63, 0.16, 0.46, 8.59]",151.0,14.0
6,3,"[4, 9, 17, 24]","[6.69, 0.23, 0.64, 2.13, 8.6]",22.0,14.0
7,3,"[4, 9, 17, 24]","[6.69, 0.23, 0.64, 2.13, 8.6]",106.0,14.0
8,4,"[8, 21, 12, 10, 19, 20, 15]","[8.05, 4.33, 0.25, 0.31, 2.32, 0.95, 2.26, 6.82]",32.0,14.0
9,4,"[8, 21, 12, 10, 19, 20, 15]","[8.05, 4.33, 0.25, 0.31, 2.32, 0.95, 2.26, 6.82]",116.0,14.0
