request,product,quantity,client,cluster,duedate,refuse cost,delay cost
0,0,1,0,5,135,3.78,1.89
1,0,1,0,5,189,4.24,2.12
2,0,2,0,5,2,2.02,1.01
3,0,2,1,1,132,3.0,1.5
4,0,5,2,1,212,2.18,1.09
5,0,6,2,1,-9,4.14,2.07
6,0,3,2,1,79,2.62,1.31
7,0,5,2,1,148,4.92,2.46
8,0,6,2,1,129,1.86,0.93
9,0,3,2,1,138,3.2,1.6
10,0,4,3,2,66,2.94,1.47
11,0,6,3,2,229,4.16,2.08
12,0,1,3,2,82,4.22,2.11
13,0,3,3,2,68,4.36,2.18
14,0,2,3,2,38,3.98,1.99
15,0,6,3,2,101,4.56,2.28
16,0,2,3,2,84,3.76,1.88
17,0,7,3,2,119,3.94,1.97
18,0,2,4,1,50,2.66,1.33
19,0,7,4,1,101,3.52,1.76
20,0,4,5,2,49,3.86,1.93
21,0,4,5,2,6,2.76,1.38
22,0,5,6,4,105,1.86,0.93
23,0,1,6,4,179,3.94,1.97
24,0,2,6,4,80,2.1,1.05
25,0,2,6,4,228,4.24,2.12
26,0,4,6,4,194,3.88,1.94
27,0,3,6,4,117,5.42,2.71
28,0,2,7,10,193,0.7,0.35
29,0,6,7,10,230,3.74,1.87
30,0,6,7,10,27,4.44,2.22
31,0,19,7,10,104,3.2,1.6
32,0,2,7,10,133,3.66,1.83
33,0,1,7,10,191,3.88,1.94
34,0,1,8,8,112,2.7,1.35
35,0,1,8,8,68,5.22,2.61
36,0,4,8,8,-15,2.74,1.37
37,0,1,8,8,130,3.88,1.94
38,0,5,8,8,208,4.16,2.08
39,0,2,8,8,233,4.44,2.22
40,0,2,8,8,46,4.32,2.16
41,0,4,8,8,-30,3.12,1.56
42,0,7,8,8,160,4.24,2.12
43,0,3,9,0,191,4.26,2.13
44,0,3,9,0,164,3.76,1.88
45,0,2,9,0,130,3.86,1.93
46,0,5,10,0,155,3.84,1.92
47,0,1,11,4,192,4.66,2.33
48,0,5,11,4,144,4.38,2.19
49,0,3,11,4,103,4.3,2.15
50,0,1,11,4,52,3.98,1.99
51,0,1,12,0,174,2.52,1.26
52,0,2,12,0,56,3.18,1.59
53,0,2,12,0,0,4.48,2.24
