trip,route,clients,sailling times,berth start,berth time
0,0,"[16, 20, 56, 10, 27, 9, 12, 25]","[7.0, 3.17, 1.98, 0.29, 0.34, 4.4, 1.96, 0.9, 6.64]",42.0,14.0
1,0,"[16, 20, 56, 10, 27, 9, 12, 25]","[7.0, 3.17, 1.98, 0.29, 0.34, 4.4, 1.96, 0.9, 6.64]",126.0,14.0
2,1,"[48, 2, 4, 36, 1, 22, 58]","[7.99, 0.45, 0.93, 0.68, 0.15, 0.52, 0.64, 5.54]",66.0,14.0
3,1,"[48, 2, 4, 36, 1, 22, 58]","[7.99, 0.45, 0.93, 0.68, 0.15, 0.52, 0.64, 5.54]",150.0,14.0
4,2,"[43, 3, 17, 5, 24]","[7.81, 0.77, 0.43, 0.91, 0.31, 8.5]",4.0,14.0
5,2,"[43, 3, 17, 5, 24]","[7.81, 0.77, 0.43, 0.91, 0.31, 8.5]",88.0,14.0
6,3,"[53, 32, 54, 44, 38, 59, 39]","[8.28, 0.72, 0.99, 1.01, 3.14, 0.45, 1.8, 7.79]",47.0,14.0
7,3,"[53, 32, 54, 44, 38, 59, 39]","[8.28, 0.72, 0.99, 1.01, 3.14, 0.45, 1.8, 7.79]",131.0,14.0
8,4,"[11, 6, 28, 37]","[6.41, 0.79, 0.99, 0.41, 7.02]",9.0,14.0
9,4,"[11, 6, 28, 37]","[6.41, 0.79, 0.99, 0.41, 7.02]",93.0,14.0
10,5,"[49, 0, 21, 42]","[6.98, 0.54, 0.87, 0.51, 4.53]",33.0,14.0
11,5,"[49, 0, 21, 42]","[6.98, 0.54, 0.87, 0.51, 4.53]",117.0,14.0
12,6,"[14, 47, 50, 13, 15]","[8.35, 3.06, 0.61, 0.33, 1.41, 8.77]",69.0,14.0
13,6,"[14, 47, 50, 13, 15]","[8.35, 3.06, 0.61, 0.33, 1.41, 8.77]",153.0,14.0
14,7,"[34, 31, 30, 45]","[7.3, 1.36, 0.54, 0.25, 6.94]",1.0,14.0
15,7,"[34, 31, 30, 45]","[7.3, 1.36, 0.54, 0.25, 6.94]",85.0,14.0
16,8,"[57, 41, 19, 29, 46, 8]","[6.27, 0.6, 1.18, 3.44, 1.11, 0.54, 5.79]",27.0,14.0
17,8,"[57, 41, 19, 29, 46, 8]","[6.27, 0.6, 1.18, 3.44, 1.11, 0.54, 5.79]",111.0,14.0
18,9,"[18, 40, 26, 52, 55, 33]","[6.98, 1.65, 0.24, 0.48, 0.51, 0.85, 5.9]",5.0,14.0
19,9,"[18, 40, 26, 52, 55, 33]","[6.98, 1.65, 0.24, 0.48, 0.51, 0.85, 5.9]",89.0,14.0
20,10,"[23, 51, 7, 35]","[3.87, 1.38, 1.29, 1.18, 8.77]",8.0,14.0
21,10,"[23, 51, 7, 35]","[3.87, 1.38, 1.29, 1.18, 8.77]",92.0,14.0
