vessel,capacity,eta
0,"[79, 938, 885, 1110]",31
1,"[98, 1122, 1276, 1284]",31
2,"[77, 1006, 1374, 1349]",53
3,"[80, 1156, 1091, 1133]",56
4,"[84, 924, 1076, 1089]",35
5,"[86, 953, 834, 1102]",36
6,"[80, 1121, 822, 819]",25
7,"[81, 970, 1431, 890]",30
8,"[75, 1321, 1254, 1407]",23
9,"[87, 1146, 1202, 980]",1
10,"[86, 1276, 1064, 1406]",26
11,"[79, 1271, 1333, 1263]",56
12,"[76, 948, 1336, 1199]",9
13,"[76, 969, 1272, 1452]",19
14,"[79, 938, 885, 1110]",31
15,"[98, 1122, 1276, 1284]",31
16,"[77, 1006, 1374, 1349]",53
17,"[80, 1156, 1091, 1133]",56
18,"[84, 924, 1076, 1089]",35
19,"[86, 953, 834, 1102]",36
20,"[80, 1121, 822, 819]",25
21,"[81, 970, 1431, 890]",30
22,"[75, 1321, 1254, 1407]",23
23,"[87, 1146, 1202, 980]",1
24,"[86, 1276, 1064, 1406]",26
25,"[79, 1271, 1333, 1263]",56
26,"[76, 948, 1336, 1199]",9
27,"[76, 969, 1272, 1452]",19
