request,product,quantity,client,cluster,duedate,refuse cost,delay cost
0,0,9,0,14,17,2.02,1.01
1,1,256,0,14,119,5.9,2.95
2,1,231,0,14,88,3.66,1.83
3,1,315,0,14,104,3.62,1.81
4,1,249,0,14,91,4.28,2.14
5,2,262,0,14,91,2.16,1.08
6,2,132,0,14,-58,4.7,2.35
7,2,208,0,14,79,3.92,1.96
8,2,201,0,14,43,4.56,2.28
9,3,345,0,14,46,4.78,2.39
10,0,10,1,2,175,5.5,2.75
11,0,1,1,2,107,2.96,1.48
12,0,5,1,2,108,3.9,1.95
13,1,247,1,2,117,3.96,1.98
14,1,171,1,2,-77,4.6,2.3
15,2,199,1,2,190,1.9,0.95
16,2,275,1,2,169,3.38,1.69
17,2,203,1,2,135,4.7,2.35
18,3,239,1,2,131,5.02,2.51
19,3,274,1,2,101,4.14,2.07
20,3,294,1,2,-5,4.32,2.16
21,3,241,1,2,139,3.88,1.94
22,3,172,1,2,143,2.9,1.45
23,0,4,2,0,190,4.54,2.27
24,1,230,2,0,90,3.54,1.77
25,1,308,2,0,106,2.68,1.34
26,1,210,2,0,78,4.1,2.05
27,1,170,2,0,-44,4.26,2.13
28,1,217,2,0,14,3.68,1.84
29,2,258,2,0,146,3.44,1.72
30,2,301,2,0,158,4.5,2.25
31,2,238,2,0,20,2.08,1.04
32,3,292,2,0,52,2.8,1.4
33,3,214,2,0,145,3.2,1.6
34,3,193,2,0,27,3.58,1.79
35,3,201,2,0,99,0.98,0.49
36,3,229,2,0,71,2.34,1.17
37,3,248,2,0,98,2.58,1.29
38,3,358,2,0,206,4.24,2.12
39,3,172,2,0,110,4.3,2.15
40,0,1,3,15,88,2.1,1.05
41,0,3,3,15,194,4.28,2.14
42,0,3,3,15,93,1.6,0.8
43,0,1,3,15,-14,3.92,1.96
44,1,220,3,15,92,4.48,2.24
45,1,255,3,15,155,3.82,1.91
46,2,208,3,15,36,2.88,1.44
47,2,178,3,15,127,3.82,1.91
48,2,180,3,15,248,1.68,0.84
49,2,275,3,15,101,3.58,1.79
50,2,311,3,15,22,3.12,1.56
51,3,265,3,15,107,4.06,2.03
52,3,192,3,15,77,5.56,2.78
53,3,127,3,15,97,3.32,1.66
54,0,2,4,14,155,2.72,1.36
55,0,1,4,14,-20,4.34,2.17
56,0,5,4,14,-5,4.2,2.1
57,0,3,4,14,196,5.96,2.98
58,0,7,4,14,57,4.52,2.26
59,1,313,4,14,243,2.62,1.31
60,1,289,4,14,192,4.28,2.14
61,1,185,4,14,28,4.52,2.26
62,1,193,4,14,203,1.5,0.75
63,1,176,4,14,108,2.06,1.03
64,1,224,4,14,88,2.62,1.31
65,1,208,4,14,-37,1.84,0.92
66,1,343,4,14,167,3.5,1.75
67,1,148,4,14,80,4.08,2.04
68,2,148,4,14,132,3.42,1.71
69,3,246,4,14,200,2.9,1.45
70,3,378,4,14,110,3.88,1.94
71,3,297,4,14,142,5.54,2.77
72,3,336,4,14,129,2.34,1.17
73,3,281,4,14,192,4.72,2.36
74,3,338,4,14,161,3.12,1.56
75,3,223,4,14,135,5.48,2.74
76,3,247,4,14,-20,2.16,1.08
77,3,215,4,14,84,3.38,1.69
78,0,3,5,9,20,3.04,1.52
79,0,4,5,9,235,3.42,1.71
80,0,6,5,9,42,3.88,1.94
81,0,2,5,9,156,3.8,1.9
82,0,4,5,9,198,5.06,2.53
83,1,342,5,9,36,3.54,1.77
84,1,180,5,9,188,5.06,2.53
85,1,156,5,9,79,3.58,1.79
86,2,198,5,9,-7,2.06,1.03
87,2,225,5,9,167,5.5,2.75
88,2,141,5,9,88,3.36,1.68
89,2,349,5,9,-30,3.88,1.94
90,2,221,5,9,194,4.04,2.02
91,3,202,5,9,99,3.32,1.66
92,3,270,5,9,167,4.42,2.21
93,3,277,5,9,243,2.1,1.05
94,3,220,5,9,45,4.94,2.47
95,3,215,5,9,-10,4.14,2.07
96,3,309,5,9,165,3.28,1.64
97,0,1,6,9,138,1.16,0.58
98,1,321,6,9,81,3.54,1.77
99,1,347,6,9,148,3.82,1.91
100,1,238,6,9,185,2.06,1.03
101,2,194,6,9,136,3.92,1.96
102,2,250,6,9,0,1.82,0.91
103,2,164,6,9,136,4.9,2.45
104,2,301,6,9,9,4.12,2.06
105,2,216,6,9,224,3.5,1.75
106,2,233,6,9,145,5.52,2.76
107,3,232,6,9,28,3.9,1.95
108,0,7,7,14,236,4.58,2.29
109,0,4,7,14,129,3.2,1.6
110,0,4,7,14,183,3.58,1.79
111,0,2,7,14,188,4.56,2.28
112,0,13,7,14,14,2.98,1.49
113,0,7,7,14,242,3.5,1.75
114,0,3,7,14,170,4.02,2.01
115,0,2,7,14,-44,1.82,0.91
116,1,224,7,14,143,2.1,1.05
117,1,232,7,14,72,4.56,2.28
118,1,177,7,14,-12,4.3,2.15
119,1,230,7,14,165,4.1,2.05
120,1,160,7,14,135,3.14,1.57
121,2,229,7,14,161,4.26,2.13
122,2,298,7,14,-32,1.14,0.57
123,2,253,7,14,194,3.82,1.91
124,2,162,7,14,143,3.9,1.95
125,3,256,7,14,185,3.36,1.68
126,3,415,7,14,77,4.5,2.25
127,3,163,7,14,-42,6.04,3.02
128,3,252,7,14,162,1.46,0.73
129,3,180,7,14,188,4.96,2.48
130,3,170,7,14,205,4.3,2.15
131,3,184,7,14,-57,2.78,1.39
132,3,272,7,14,90,4.7,2.35
133,3,275,7,14,130,2.32,1.16
134,3,173,7,14,125,1.94,0.97
135,3,229,7,14,157,2.18,1.09
136,3,242,7,14,108,2.38,1.19
137,0,5,8,14,143,3.38,1.69
138,0,5,8,14,151,0.9,0.45
139,0,3,8,14,-27,6.96,3.48
140,0,1,8,14,103,5.94,2.97
141,0,4,8,14,156,3.8,1.9
142,0,1,8,14,11,3.76,1.88
143,0,7,8,14,154,4.5,2.25
144,0,1,8,14,66,4.14,2.07
145,0,4,8,14,163,1.88,0.94
146,1,289,8,14,54,4.32,2.16
147,1,269,8,14,134,2.88,1.44
148,1,423,8,14,245,3.72,1.86
149,2,301,8,14,33,2.8,1.4
150,2,128,8,14,175,4.82,2.41
151,2,153,8,14,104,3.32,1.66
152,2,311,8,14,136,3.46,1.73
153,3,282,8,14,93,4.44,2.22
154,3,241,8,14,168,3.52,1.76
155,3,228,8,14,101,4.5,2.25
156,3,292,8,14,155,2.84,1.42
157,3,209,8,14,159,6.02,3.01
158,0,9,9,9,185,3.06,1.53
159,0,3,9,9,52,4.5,2.25
160,0,2,9,9,142,2.52,1.26
161,0,3,9,9,-78,4.16,2.08
162,0,3,9,9,0,1.74,0.87
163,0,4,9,9,77,3.32,1.66
164,0,7,9,9,237,4.96,2.48
165,0,7,9,9,118,3.14,1.57
166,0,12,9,9,-8,2.86,1.43
167,1,258,9,9,141,3.58,1.79
168,2,306,9,9,107,5.42,2.71
169,2,266,9,9,4,3.92,1.96
170,2,259,9,9,2,3.82,1.91
171,2,160,9,9,111,3.24,1.62
172,2,147,9,9,49,3.98,1.99
173,2,368,9,9,34,3.38,1.69
174,3,191,9,9,118,1.8,0.9
175,3,210,9,9,38,4.18,2.09
176,3,215,9,9,10,3.44,1.72
177,3,356,9,9,-39,2.68,1.34
178,3,145,9,9,113,5.5,2.75
179,3,179,9,9,96,5.36,2.68
180,0,5,10,15,135,4.46,2.23
181,0,7,10,15,-33,4.04,2.02
182,0,4,10,15,248,4.66,2.33
183,0,4,10,15,6,1.9,0.95
184,1,249,10,15,5,4.44,2.22
185,1,353,10,15,87,4.5,2.25
186,1,333,10,15,212,4.14,2.07
187,1,210,10,15,157,4.44,2.22
188,1,240,10,15,137,5.02,2.51
189,1,219,10,15,147,4.14,2.07
190,1,271,10,15,158,1.88,0.94
191,1,241,10,15,-22,3.6,1.8
192,1,183,10,15,93,5.34,2.67
193,1,221,10,15,191,4.46,2.23
194,2,183,10,15,145,3.64,1.82
195,2,204,10,15,183,3.06,1.53
196,2,143,10,15,159,2.62,1.31
197,2,280,10,15,131,3.26,1.63
198,2,215,10,15,157,3.32,1.66
199,2,238,10,15,148,3.46,1.73
200,2,263,10,15,66,5.22,2.61
201,2,168,10,15,197,4.66,2.33
202,3,186,10,15,245,4.22,2.11
