request,product,quantity,client,cluster,duedate,refuse cost,delay cost
0,0,1,0,0,33,3.28,1.64
1,0,1,0,0,-40,3.16,1.58
2,0,8,0,0,167,3.04,1.52
3,0,4,0,0,61,4.72,2.36
4,0,3,1,4,214,3.32,1.66
5,0,2,1,4,42,3.34,1.67
6,0,2,1,4,160,3.24,1.62
7,0,2,1,4,23,5.26,2.63
8,0,1,1,4,200,2.98,1.49
9,0,8,1,4,-47,4.6,2.3
10,0,2,1,4,140,3.1,1.55
11,0,2,1,4,154,4.58,2.29
12,0,5,1,4,121,4.18,2.09
13,0,3,1,4,-13,2.32,1.16
14,0,10,1,4,165,4.74,2.37
15,0,3,2,0,84,3.56,1.78
16,0,6,2,0,172,2.58,1.29
17,0,7,2,0,160,1.18,0.59
18,0,3,2,0,153,5.08,2.54
19,0,2,2,0,-2,3.28,1.64
20,0,2,3,0,228,4.02,2.01
21,0,1,3,0,226,3.86,1.93
22,0,7,3,0,42,3.26,1.63
23,0,5,3,0,216,3.46,1.73
24,0,1,3,0,-47,5.56,2.78
25,0,4,3,0,62,5.46,2.73
26,0,5,3,0,143,4.06,2.03
27,0,2,3,0,160,4.16,2.08
28,0,5,3,0,242,4.86,2.43
29,0,5,3,0,79,2.48,1.24
30,0,5,3,0,42,3.9,1.95
31,0,4,4,2,121,3.34,1.67
32,0,2,5,2,65,4.82,2.41
33,0,1,6,4,4,2.9,1.45
34,0,3,7,3,229,2.24,1.12
35,0,2,7,3,53,3.2,1.6
36,0,3,7,3,110,2.18,1.09
37,0,2,8,0,72,4.62,2.31
38,0,3,8,0,164,2.82,1.41
39,0,3,8,0,195,4.36,2.18
40,0,3,8,0,168,4.42,2.21
41,0,2,8,0,80,2.88,1.44
42,0,4,9,3,214,3.16,1.58
43,0,8,9,3,26,4.02,2.01
44,0,5,9,3,188,4.54,2.27
45,0,5,10,2,118,3.0,1.5
46,0,10,10,2,36,4.14,2.07
47,0,8,10,2,225,5.44,2.72
48,0,3,10,2,198,4.76,2.38
49,0,3,10,2,13,4.94,2.47
50,0,4,10,2,187,1.78,0.89
51,0,3,10,2,192,2.44,1.22
52,0,1,10,2,135,5.84,2.92
53,0,2,11,2,43,3.44,1.72
54,0,2,11,2,22,4.12,2.06
55,0,9,11,2,207,4.46,2.23
56,0,2,11,2,120,4.78,2.39
57,0,3,11,2,-7,1.6,0.8
58,0,8,11,2,231,3.56,1.78
59,0,9,11,2,172,3.68,1.84
60,0,4,12,0,226,3.34,1.67
61,0,3,12,0,127,3.06,1.53
62,0,8,13,2,117,4.62,2.31
63,0,2,13,2,74,4.68,2.34
64,0,3,13,2,-15,3.58,1.79
65,0,4,13,2,19,5.02,2.51
66,0,2,13,2,237,3.34,1.67
67,0,5,13,2,169,5.1,2.55
68,0,2,13,2,203,3.72,1.86
