vessel,capacity,eta
0,"[73, 1027, 1089, 1038]",40
1,"[76, 1329, 1350, 1057]",8
2,"[77, 908, 760, 1386]",6
3,"[97, 1138, 1064, 734]",8
4,"[73, 1174, 879, 1314]",36
5,"[71, 921, 1160, 1084]",11
6,"[80, 1145, 1322, 1313]",11
7,"[83, 977, 1219, 1440]",13
8,"[77, 1245, 1355, 1128]",46
9,"[74, 1145, 1141, 1152]",12
10,"[75, 1020, 965, 897]",25
11,"[82, 959, 1125, 1054]",48
12,"[97, 1270, 1358, 1423]",19
13,"[86, 825, 1254, 1089]",23
14,"[77, 1215, 1278, 1243]",20
15,"[84, 1308, 1230, 1372]",23
16,"[79, 1011, 1191, 1272]",11
17,"[83, 933, 745, 897]",1
18,"[58, 1035, 1078, 1114]",28
19,"[87, 1154, 1142, 899]",63
20,"[83, 1158, 1119, 1286]",3
21,"[66, 1276, 1137, 1242]",22
22,"[76, 1077, 977, 1369]",16
23,"[93, 1244, 1166, 906]",14
24,"[73, 1027, 1089, 1038]",40
25,"[76, 1329, 1350, 1057]",8
26,"[77, 908, 760, 1386]",6
27,"[97, 1138, 1064, 734]",8
28,"[73, 1174, 879, 1314]",36
29,"[71, 921, 1160, 1084]",11
30,"[80, 1145, 1322, 1313]",11
31,"[83, 977, 1219, 1440]",13
32,"[77, 1245, 1355, 1128]",46
33,"[74, 1145, 1141, 1152]",12
34,"[75, 1020, 965, 897]",25
35,"[82, 959, 1125, 1054]",48
36,"[97, 1270, 1358, 1423]",19
37,"[86, 825, 1254, 1089]",23
38,"[77, 1215, 1278, 1243]",20
39,"[84, 1308, 1230, 1372]",23
40,"[79, 1011, 1191, 1272]",11
41,"[83, 933, 745, 897]",1
42,"[58, 1035, 1078, 1114]",28
43,"[87, 1154, 1142, 899]",63
44,"[83, 1158, 1119, 1286]",3
45,"[66, 1276, 1137, 1242]",22
46,"[76, 1077, 977, 1369]",16
47,"[93, 1244, 1166, 906]",14
