vessel,capacity,eta
0,"[70, 1277]",42
1,"[67, 1252]",29
2,"[71, 1274]",12
3,"[68, 1442]",15
4,"[75, 791]",17
5,"[77, 1023]",10
6,"[89, 818]",30
7,"[82, 1319]",34
8,"[69, 773]",25
9,"[88, 1459]",22
10,"[91, 1174]",14
11,"[73, 758]",48
12,"[71, 1217]",44
13,"[72, 1239]",22
14,"[81, 1196]",9
15,"[92, 1144]",7
16,"[88, 1393]",15
17,"[74, 1268]",28
18,"[72, 1129]",17
19,"[70, 1304]",67
20,"[69, 1103]",26
21,"[83, 687]",45
22,"[79, 1080]",7
23,"[78, 1128]",24
24,"[70, 1436]",35
25,"[92, 1338]",46
26,"[71, 1259]",13
27,"[71, 998]",36
28,"[77, 1432]",21
29,"[86, 1172]",17
30,"[74, 1210]",52
31,"[79, 1369]",39
32,"[70, 1277]",42
33,"[67, 1252]",29
34,"[71, 1274]",12
35,"[68, 1442]",15
36,"[75, 791]",17
37,"[77, 1023]",10
38,"[89, 818]",30
39,"[82, 1319]",34
40,"[69, 773]",25
41,"[88, 1459]",22
42,"[91, 1174]",14
43,"[73, 758]",48
44,"[71, 1217]",44
45,"[72, 1239]",22
46,"[81, 1196]",9
47,"[92, 1144]",7
48,"[88, 1393]",15
49,"[74, 1268]",28
50,"[72, 1129]",17
51,"[70, 1304]",67
52,"[69, 1103]",26
53,"[83, 687]",45
54,"[79, 1080]",7
55,"[78, 1128]",24
56,"[70, 1436]",35
57,"[92, 1338]",46
58,"[71, 1259]",13
59,"[71, 998]",36
60,"[77, 1432]",21
61,"[86, 1172]",17
62,"[74, 1210]",52
63,"[79, 1369]",39
