request,product,quantity,client,cluster,duedate,refuse cost,delay cost
0,0,2,0,4,92,3.3,1.65
1,0,2,0,4,-34,2.46,1.23
2,0,3,0,4,88,4.18,2.09
3,0,3,0,4,233,3.6,1.8
4,0,4,0,4,139,3.56,1.78
5,0,2,0,4,129,4.62,2.31
6,0,2,0,4,152,3.76,1.88
7,0,4,0,4,97,4.02,2.01
8,0,2,0,4,56,4.16,2.08
9,0,1,0,4,-69,2.74,1.37
10,1,201,0,4,7,3.6,1.8
11,1,237,0,4,221,1.44,0.72
12,1,142,0,4,68,3.46,1.73
13,1,387,0,4,225,4.74,2.37
14,1,238,0,4,174,3.76,1.88
15,0,2,1,4,87,3.12,1.56
16,0,1,1,4,189,2.64,1.32
17,0,3,1,4,237,2.9,1.45
18,0,2,1,4,83,2.38,1.19
19,0,1,1,4,75,3.48,1.74
20,0,5,1,4,9,2.54,1.27
21,0,3,1,4,138,2.52,1.26
22,0,4,1,4,-44,4.8,2.4
23,1,198,1,4,91,4.22,2.11
24,1,319,1,4,125,2.1,1.05
25,1,302,1,4,185,2.04,1.02
26,1,188,1,4,63,4.38,2.19
27,1,297,1,4,182,4.58,2.29
28,0,2,2,14,-30,4.66,2.33
29,0,2,2,14,117,2.86,1.43
30,0,7,2,14,201,4.58,2.29
31,1,218,2,14,80,3.96,1.98
32,1,316,2,14,57,2.62,1.31
33,1,234,2,14,-52,4.0,2.0
34,0,5,3,0,203,3.06,1.53
35,0,3,3,0,99,4.48,2.24
36,0,2,3,0,121,1.68,0.84
37,0,3,3,0,107,5.24,2.62
38,0,2,3,0,151,2.6,1.3
39,0,2,3,0,42,3.6,1.8
40,0,2,3,0,207,3.88,1.94
41,0,2,3,0,62,3.08,1.54
42,0,4,3,0,197,2.62,1.31
43,1,161,3,0,-39,3.52,1.76
44,1,297,3,0,39,3.52,1.76
45,1,219,3,0,208,4.12,2.06
46,1,295,3,0,-47,4.54,2.27
47,1,344,3,0,148,1.74,0.87
48,0,3,4,20,104,3.66,1.83
49,0,3,4,20,56,4.22,2.11
50,0,1,4,20,76,4.98,2.49
51,0,4,4,20,-54,3.68,1.84
52,0,1,4,20,-13,3.24,1.62
53,0,3,4,20,225,4.26,2.13
54,0,8,4,20,105,2.88,1.44
55,0,2,4,20,-9,3.86,1.93
56,0,3,4,20,103,3.38,1.69
57,0,5,4,20,0,4.64,2.32
58,0,1,4,20,192,3.2,1.6
59,1,190,4,20,153,3.7,1.85
60,1,214,4,20,113,3.88,1.94
61,1,250,4,20,-50,2.46,1.23
62,1,155,4,20,169,4.82,2.41
63,1,344,4,20,-9,4.76,2.38
64,0,2,5,19,172,3.12,1.56
65,0,4,5,19,-31,3.56,1.78
66,0,3,5,19,189,3.72,1.86
67,0,4,5,19,173,4.16,2.08
68,1,286,5,19,-19,5.54,2.77
69,1,182,5,19,162,4.9,2.45
70,1,177,5,19,134,2.0,1.0
71,0,6,6,2,173,4.88,2.44
72,0,3,6,2,91,4.6,2.3
73,0,2,6,2,121,2.34,1.17
74,0,1,6,2,65,4.1,2.05
75,0,4,6,2,-8,4.04,2.02
76,0,5,6,2,54,4.3,2.15
77,0,5,6,2,57,5.36,2.68
78,0,2,6,2,170,3.4,1.7
79,1,180,6,2,55,5.4,2.7
