trip,route,clients,sailling times,berth start,berth time
0,0,"[116, 35, 106, 26, 14, 87, 84]","[8.27, 3.29, 1.42, 2.71, 0.21, 2.09, 1.83, 9.87]",7.0,14.0
1,0,"[116, 35, 106, 26, 14, 87, 84]","[8.27, 3.29, 1.42, 2.71, 0.21, 2.09, 1.83, 9.87]",91.0,14.0
2,1,"[80, 71, 18, 78]","[6.46, 2.13, 0.37, 0.64, 7.36]",60.0,14.0
3,1,"[80, 71, 18, 78]","[6.46, 2.13, 0.37, 0.64, 7.36]",144.0,14.0
4,2,"[38, 72, 97, 27, 2, 92, 11]","[5.89, 1.18, 1.15, 1.69, 0.37, 0.55, 1.04, 8.19]",1.0,14.0
5,2,"[38, 72, 97, 27, 2, 92, 11]","[5.89, 1.18, 1.15, 1.69, 0.37, 0.55, 1.04, 8.19]",85.0,14.0
6,3,"[81, 5, 50, 32, 60]","[5.83, 1.17, 0.15, 3.78, 1.92, 8.0]",69.0,14.0
7,3,"[81, 5, 50, 32, 60]","[5.83, 1.17, 0.15, 3.78, 1.92, 8.0]",153.0,14.0
8,4,"[23, 111, 76, 94, 89, 95]","[8.3, 0.51, 1.98, 0.92, 0.71, 1.67, 6.72]",55.0,14.0
9,4,"[23, 111, 76, 94, 89, 95]","[8.3, 0.51, 1.98, 0.92, 0.71, 1.67, 6.72]",139.0,14.0
10,5,"[108, 10, 107, 24, 93, 102]","[7.59, 1.04, 1.11, 0.22, 1.35, 0.36, 6.93]",42.0,14.0
11,5,"[108, 10, 107, 24, 93, 102]","[7.59, 1.04, 1.11, 0.22, 1.35, 0.36, 6.93]",126.0,14.0
12,6,"[65, 57, 82, 58, 17, 19]","[8.25, 0.73, 2.24, 0.49, 0.48, 0.62, 7.68]",76.0,14.0
13,6,"[65, 57, 82, 58, 17, 19]","[8.25, 0.73, 2.24, 0.49, 0.48, 0.62, 7.68]",160.0,14.0
14,7,"[31, 104, 55, 12]","[7.92, 1.44, 1.23, 1.15, 8.88]",41.0,14.0
15,7,"[31, 104, 55, 12]","[7.92, 1.44, 1.23, 1.15, 8.88]",125.0,14.0
16,8,"[36, 101, 28, 70, 42, 46]","[7.42, 0.54, 1.87, 0.27, 0.34, 0.24, 6.99]",62.0,14.0
17,8,"[36, 101, 28, 70, 42, 46]","[7.42, 0.54, 1.87, 0.27, 0.34, 0.24, 6.99]",146.0,14.0
18,9,"[67, 73, 99, 112]","[6.11, 3.21, 0.18, 2.43, 6.44]",4.0,14.0
19,9,"[67, 73, 99, 112]","[6.11, 3.21, 0.18, 2.43, 6.44]",88.0,14.0
20,10,"[59, 51, 88, 16, 39]","[6.91, 0.61, 1.3, 0.29, 0.17, 7.74]",71.0,14.0
21,10,"[59, 51, 88, 16, 39]","[6.91, 0.61, 1.3, 0.29, 0.17, 7.74]",155.0,14.0
22,11,"[7, 9, 109, 110, 1, 30, 48]","[7.7, 0.84, 0.92, 0.44, 1.22, 0.57, 3.69, 6.16]",56.0,14.0
23,11,"[7, 9, 109, 110, 1, 30, 48]","[7.7, 0.84, 0.92, 0.44, 1.22, 0.57, 3.69, 6.16]",140.0,14.0
24,12,"[52, 22, 13, 20, 40, 74]","[7.26, 0.78, 0.59, 0.32, 0.82, 1.88, 4.55]",21.0,14.0
25,12,"[52, 22, 13, 20, 40, 74]","[7.26, 0.78, 0.59, 0.32, 0.82, 1.88, 4.55]",105.0,14.0
26,13,"[77, 115, 98, 25, 83, 96, 90]","[11.02, 0.67, 0.58, 4.55, 0.33, 1.1, 1.43, 7.73]",41.0,14.0
27,13,"[77, 115, 98, 25, 83, 96, 90]","[11.02, 0.67, 0.58, 4.55, 0.33, 1.1, 1.43, 7.73]",125.0,14.0
28,14,"[4, 44, 21, 53, 113, 0]","[6.22, 0.73, 1.48, 0.13, 8.5, 3.0, 8.04]",7.0,14.0
29,14,"[4, 44, 21, 53, 113, 0]","[6.22, 0.73, 1.48, 0.13, 8.5, 3.0, 8.04]",91.0,14.0
30,15,"[3, 91, 119, 61, 86]","[5.55, 0.7, 2.73, 0.52, 0.42, 8.05]",53.0,14.0
31,15,"[3, 91, 119, 61, 86]","[5.55, 0.7, 2.73, 0.52, 0.42, 8.05]",137.0,14.0
32,16,"[103, 6, 47, 68, 56, 8, 85]","[7.27, 0.22, 0.4, 0.61, 0.4, 0.56, 1.6, 6.93]",69.0,14.0
33,16,"[103, 6, 47, 68, 56, 8, 85]","[7.27, 0.22, 0.4, 0.61, 0.4, 0.56, 1.6, 6.93]",153.0,14.0
34,17,"[66, 117, 114, 62, 75]","[9.82, 0.21, 0.25, 1.23, 0.96, 8.78]",8.0,14.0
35,17,"[66, 117, 114, 62, 75]","[9.82, 0.21, 0.25, 1.23, 0.96, 8.78]",92.0,14.0
36,18,"[118, 15, 105, 69]","[8.26, 2.07, 0.39, 1.58, 6.62]",61.0,14.0
37,18,"[118, 15, 105, 69]","[8.26, 2.07, 0.39, 1.58, 6.62]",145.0,14.0
38,19,"[43, 100, 37, 63, 64, 49]","[-0.34, 0.56, 0.54, 1.8, 0.4, 0.32, 7.14]",36.0,14.0
39,19,"[43, 100, 37, 63, 64, 49]","[-0.34, 0.56, 0.54, 1.8, 0.4, 0.32, 7.14]",120.0,14.0
40,20,"[79, 41, 54, 33, 34, 29, 45]","[7.51, 0.46, 0.44, 3.26, 0.97, 1.7, 0.71, 7.82]",10.0,14.0
41,20,"[79, 41, 54, 33, 34, 29, 45]","[7.51, 0.46, 0.44, 3.26, 0.97, 1.7, 0.71, 7.82]",94.0,14.0
