request,product,quantity,client,cluster,duedate,refuse cost,delay cost
0,0,2,0,14,240,3.2,1.6
1,0,2,0,14,128,3.98,1.99
2,0,1,1,11,217,4.04,2.02
3,0,4,1,11,150,2.48,1.24
4,0,2,1,11,109,4.58,2.29
5,0,4,1,11,157,1.8,0.9
6,0,3,1,11,123,4.1,2.05
7,0,1,1,11,158,4.16,2.08
8,0,4,1,11,169,4.2,2.1
9,0,4,1,11,24,3.44,1.72
10,0,3,1,11,138,3.92,1.96
11,0,3,2,2,186,4.86,2.43
12,0,3,2,2,199,3.8,1.9
13,0,1,2,2,60,4.94,2.47
14,0,3,2,2,160,3.76,1.88
15,0,4,2,2,159,3.56,1.78
16,0,1,2,2,131,3.72,1.86
17,0,1,2,2,86,3.18,1.59
18,0,3,3,15,72,3.62,1.81
19,0,3,3,15,192,3.58,1.79
20,0,2,3,15,116,4.68,2.34
21,0,1,3,15,186,4.74,2.37
22,0,1,3,15,222,5.0,2.5
23,0,4,3,15,109,4.64,2.32
24,0,2,4,14,151,3.28,1.64
25,0,7,4,14,27,3.46,1.73
26,0,2,4,14,53,5.24,2.62
27,0,1,4,14,63,2.98,1.49
28,0,8,4,14,166,5.28,2.64
29,0,3,4,14,204,5.22,2.61
30,0,8,4,14,244,3.68,1.84
31,0,3,4,14,-6,4.58,2.29
32,0,2,4,14,222,4.86,2.43
33,0,3,4,14,165,3.24,1.62
34,0,3,4,14,119,5.08,2.54
35,0,3,5,3,108,4.22,2.11
36,0,3,5,3,244,4.94,2.47
37,0,3,5,3,130,4.26,2.13
38,0,2,5,3,79,4.54,2.27
39,0,2,5,3,156,3.5,1.75
40,0,1,6,16,41,4.38,2.19
41,0,1,6,16,15,3.12,1.56
42,0,3,6,16,231,2.38,1.19
43,0,2,6,16,67,3.54,1.77
44,0,5,6,16,112,2.46,1.23
45,0,5,6,16,109,2.32,1.16
46,0,3,6,16,170,1.74,0.87
47,0,3,6,16,5,5.66,2.83
48,0,2,6,16,-2,4.2,2.1
49,0,6,6,16,188,4.32,2.16
50,0,4,6,16,165,2.9,1.45
51,0,1,7,11,59,2.44,1.22
52,0,7,7,11,108,3.28,1.64
53,0,2,7,11,196,3.12,1.56
54,0,4,7,11,56,4.96,2.48
55,0,3,7,11,134,3.8,1.9
56,0,1,7,11,131,2.52,1.26
57,0,1,7,11,121,4.68,2.34
58,0,3,8,16,124,3.24,1.62
59,0,2,8,16,-48,4.38,2.19
60,0,5,8,16,0,4.0,2.0
61,0,4,8,16,134,2.62,1.31
62,0,2,8,16,112,2.52,1.26
63,0,6,8,16,123,4.26,2.13
64,0,4,8,16,64,3.14,1.57
65,0,2,8,16,8,3.98,1.99
66,0,4,8,16,-22,3.98,1.99
67,0,3,9,11,46,3.26,1.63
68,0,1,9,11,156,4.68,2.34
69,0,2,9,11,31,5.36,2.68
70,0,1,9,11,111,4.38,2.19
71,0,4,9,11,184,3.92,1.96
72,0,4,9,11,69,3.38,1.69
73,0,4,9,11,188,3.92,1.96
74,0,5,9,11,183,4.7,2.35
75,0,2,9,11,-16,3.22,1.61
76,0,6,9,11,-15,4.58,2.29
77,0,2,9,11,101,4.44,2.22
78,0,4,9,11,125,3.34,1.67
79,0,2,9,11,181,5.06,2.53
80,0,2,9,11,214,3.14,1.57
81,0,6,9,11,237,1.72,0.86
82,0,4,10,5,44,4.02,2.01
83,0,2,10,5,26,2.64,1.32
84,0,5,10,5,33,3.54,1.77
85,0,5,10,5,-18,4.48,2.24
86,0,4,10,5,75,5.0,2.5
87,0,3,11,2,-30,2.82,1.41
88,0,1,11,2,240,2.24,1.12
89,0,5,11,2,65,3.9,1.95
90,0,7,11,2,147,1.58,0.79
91,0,3,11,2,224,3.24,1.62
92,0,1,11,2,79,3.12,1.56
93,0,3,11,2,-14,2.02,1.01
94,0,7,11,2,231,3.2,1.6
95,0,3,11,2,125,4.38,2.19
96,0,2,11,2,85,4.0,2.0
97,0,4,12,7,124,4.48,2.24
98,0,8,12,7,80,5.46,2.73
99,0,1,12,7,131,3.84,1.92
100,0,6,12,7,37,4.0,2.0
101,0,8,12,7,-8,4.56,2.28
102,0,5,12,7,-20,4.14,2.07
103,0,7,12,7,84,3.5,1.75
