vessel,capacity,eta
0,[84],5
1,[89],12
2,[59],40
3,[92],12
4,[81],16
5,[90],11
6,[86],14
7,[72],23
8,[69],31
9,[80],10
10,[92],12
11,[82],15
12,[73],29
13,[90],54
14,[84],39
15,[74],26
16,[84],41
17,[87],51
18,[60],32
19,[93],22
20,[91],17
21,[78],50
22,[84],15
23,[76],36
24,[74],25
25,[79],21
26,[92],29
27,[83],42
28,[78],35
29,[65],6
30,[75],7
31,[57],43
32,[84],5
33,[89],12
34,[59],40
35,[92],12
36,[81],16
37,[90],11
38,[86],14
39,[72],23
40,[69],31
41,[80],10
42,[92],12
43,[82],15
44,[73],29
45,[90],54
46,[84],39
47,[74],26
48,[84],41
49,[87],51
50,[60],32
51,[93],22
52,[91],17
53,[78],50
54,[84],15
55,[76],36
56,[74],25
57,[79],21
58,[92],29
59,[83],42
60,[78],35
61,[65],6
62,[75],7
63,[57],43
