trip,route,clients,sailling times,berth start,berth time
0,0,"[27, 0, 20, 2, 16, 9, 11]","[7.59, 0.32, 0.36, 0.25, 0.88, 1.22, 0.65, 7.76]",63.0,14.0
1,0,"[27, 0, 20, 2, 16, 9, 11]","[7.59, 0.32, 0.36, 0.25, 0.88, 1.22, 0.65, 7.76]",147.0,14.0
2,1,"[22, 28, 10, 15]","[6.84, 1.62, 2.53, 1.2, 5.46]",77.0,14.0
3,1,"[22, 28, 10, 15]","[6.84, 1.62, 2.53, 1.2, 5.46]",161.0,14.0
4,2,"[19, 29, 17, 5, 7, 8, 14]","[7.02, 0.48, 3.06, 0.45, 0.5, 1.48, 0.72, 6.65]",52.0,14.0
5,2,"[19, 29, 17, 5, 7, 8, 14]","[7.02, 0.48, 3.06, 0.45, 0.5, 1.48, 0.72, 6.65]",136.0,14.0
6,3,"[24, 23, 12, 3, 6, 21]","[7.04, 0.4, 0.86, 0.46, 0.55, 0.46, 6.3]",8.0,14.0
7,3,"[24, 23, 12, 3, 6, 21]","[7.04, 0.4, 0.86, 0.46, 0.55, 0.46, 6.3]",92.0,14.0
8,4,"[4, 1, 13, 18, 26, 25]","[7.81, 0.7, 1.19, 2.39, 1.77, 1.51, 7.33]",50.0,14.0
9,4,"[4, 1, 13, 18, 26, 25]","[7.81, 0.7, 1.19, 2.39, 1.77, 1.51, 7.33]",134.0,14.0
