vessel,capacity,eta
0,"[78, 1340, 1085]",29
1,"[89, 1464, 1079]",26
2,"[69, 973, 1363]",9
3,"[75, 1006, 1181]",43
4,"[73, 799, 1127]",36
5,"[84, 1314, 1271]",7
6,"[82, 1344, 1218]",53
7,"[77, 1402, 1181]",13
8,"[90, 1050, 1353]",33
9,"[79, 900, 1375]",16
10,"[62, 1140, 1367]",5
11,"[82, 1393, 1366]",29
12,"[108, 1299, 1111]",9
13,"[85, 1297, 1151]",36
14,"[73, 937, 1456]",43
15,"[87, 694, 1279]",38
16,"[74, 1268, 1439]",28
17,"[91, 1124, 1101]",15
18,"[83, 1173, 1065]",13
19,"[82, 1247, 1172]",57
20,"[73, 1349, 1302]",5
21,"[78, 1134, 1453]",1
22,"[71, 944, 1362]",6
23,"[92, 1267, 881]",4
24,"[85, 1397, 1130]",30
25,"[79, 1228, 1233]",18
26,"[86, 1460, 941]",59
27,"[87, 1041, 1216]",41
28,"[98, 1209, 1303]",60
29,"[89, 1243, 997]",10
30,"[89, 1354, 1052]",23
31,"[76, 772, 1319]",22
32,"[80, 1107, 1022]",50
33,"[87, 982, 1284]",54
34,"[78, 1340, 1085]",29
35,"[89, 1464, 1079]",26
36,"[69, 973, 1363]",9
37,"[75, 1006, 1181]",43
38,"[73, 799, 1127]",36
39,"[84, 1314, 1271]",7
40,"[82, 1344, 1218]",53
41,"[77, 1402, 1181]",13
42,"[90, 1050, 1353]",33
43,"[79, 900, 1375]",16
44,"[62, 1140, 1367]",5
45,"[82, 1393, 1366]",29
46,"[108, 1299, 1111]",9
47,"[85, 1297, 1151]",36
48,"[73, 937, 1456]",43
49,"[87, 694, 1279]",38
50,"[74, 1268, 1439]",28
51,"[91, 1124, 1101]",15
52,"[83, 1173, 1065]",13
53,"[82, 1247, 1172]",57
54,"[73, 1349, 1302]",5
55,"[78, 1134, 1453]",1
56,"[71, 944, 1362]",6
57,"[92, 1267, 881]",4
58,"[85, 1397, 1130]",30
59,"[79, 1228, 1233]",18
60,"[86, 1460, 941]",59
61,"[87, 1041, 1216]",41
62,"[98, 1209, 1303]",60
63,"[89, 1243, 997]",10
64,"[89, 1354, 1052]",23
65,"[76, 772, 1319]",22
66,"[80, 1107, 1022]",50
67,"[87, 982, 1284]",54
