vessel,capacity,eta
0,"[71, 1220, 1132]",19
1,"[75, 1023, 1230]",61
2,"[63, 1436, 1262]",23
3,"[85, 1118, 1217]",19
4,"[102, 1014, 1113]",37
5,"[77, 1195, 1156]",23
6,"[84, 1353, 1169]",29
7,"[96, 824, 1349]",53
8,"[102, 999, 1302]",28
9,"[73, 1202, 1055]",2
10,"[71, 1220, 1132]",19
11,"[75, 1023, 1230]",61
12,"[63, 1436, 1262]",23
13,"[85, 1118, 1217]",19
14,"[102, 1014, 1113]",37
15,"[77, 1195, 1156]",23
16,"[84, 1353, 1169]",29
17,"[96, 824, 1349]",53
18,"[102, 999, 1302]",28
19,"[73, 1202, 1055]",2
