trip,route,clients,sailling times,berth start,berth time
0,0,"[19, 20, 7, 3, 4, 0]","[6.9, 0.56, 0.94, 1.05, 2.62, 0.9, 8.94]",5.0,14.0
1,0,"[19, 20, 7, 3, 4, 0]","[6.9, 0.56, 0.94, 1.05, 2.62, 0.9, 8.94]",89.0,14.0
2,1,"[1, 21, 26, 14]","[5.74, 2.0, 1.55, 0.56, 7.32]",65.0,14.0
3,1,"[1, 21, 26, 14]","[5.74, 2.0, 1.55, 0.56, 7.32]",149.0,14.0
4,2,"[5, 23, 29, 27, 13, 25, 2]","[8.31, 0.48, 1.33, 0.8, 1.08, 2.22, 0.71, 9.46]",15.0,14.0
5,2,"[5, 23, 29, 27, 13, 25, 2]","[8.31, 0.48, 1.33, 0.8, 1.08, 2.22, 0.71, 9.46]",99.0,14.0
6,3,"[9, 18, 16, 12, 10, 22, 24]","[7.29, 0.18, 1.25, 1.07, 0.81, 2.69, 2.44, 7.56]",13.0,14.0
7,3,"[9, 18, 16, 12, 10, 22, 24]","[7.29, 0.18, 1.25, 1.07, 0.81, 2.69, 2.44, 7.56]",97.0,14.0
8,4,"[6, 15, 28, 8, 11, 17]","[4.88, 0.15, 1.87, 1.34, 0.7, 2.89, 6.9]",24.0,14.0
9,4,"[6, 15, 28, 8, 11, 17]","[4.88, 0.15, 1.87, 1.34, 0.7, 2.89, 6.9]",108.0,14.0
