request,product,quantity,client,cluster,duedate,refuse cost,delay cost
0,0,3,0,0,105,1.92,0.96
1,0,6,0,0,41,3.42,1.71
2,0,2,0,0,18,4.12,2.06
3,0,3,0,0,134,1.16,0.58
4,0,7,0,0,197,1.18,0.59
5,0,6,0,0,112,3.5,1.75
6,0,4,0,0,-3,2.64,1.32
7,0,4,0,0,117,3.62,1.81
8,0,3,0,0,62,3.76,1.88
9,0,3,0,0,182,2.34,1.17
10,0,6,0,0,190,3.24,1.62
11,1,301,0,0,156,4.38,2.19
12,1,296,0,0,165,3.4,1.7
13,1,363,0,0,227,4.86,2.43
14,1,315,0,0,175,4.0,2.0
15,1,312,0,0,0,5.18,2.59
16,1,244,0,0,81,2.96,1.48
17,1,251,0,0,169,3.92,1.96
18,2,194,0,0,59,5.08,2.54
19,2,170,0,0,-6,3.96,1.98
20,0,1,1,1,160,3.3,1.65
21,0,1,1,1,83,2.94,1.47
22,0,3,1,1,192,4.3,2.15
23,0,2,1,1,233,2.62,1.31
24,1,145,1,1,145,2.48,1.24
25,1,256,1,1,82,2.56,1.28
26,1,198,1,1,180,4.34,2.17
27,1,273,1,1,89,3.78,1.89
28,1,277,1,1,67,4.38,2.19
29,1,248,1,1,183,3.5,1.75
30,2,289,1,1,21,2.88,1.44
31,2,175,1,1,27,3.58,1.79
32,2,239,1,1,246,4.28,2.14
33,2,335,1,1,208,5.3,2.65
34,2,163,1,1,99,2.68,1.34
35,2,245,1,1,185,2.4,1.2
36,0,6,2,2,84,4.88,2.44
37,0,5,2,2,-70,3.92,1.96
38,0,2,2,2,250,1.48,0.74
39,0,2,2,2,219,3.2,1.6
40,0,1,2,2,20,4.18,2.09
41,0,4,2,2,208,3.02,1.51
42,0,1,2,2,47,3.04,1.52
43,0,1,2,2,99,3.04,1.52
44,0,7,2,2,50,4.06,2.03
45,1,260,2,2,-60,4.82,2.41
46,1,265,2,2,226,4.46,2.23
47,1,301,2,2,129,5.86,2.93
48,1,147,2,2,59,4.1,2.05
49,1,172,2,2,10,3.08,1.54
50,1,162,2,2,187,4.54,2.27
51,2,215,2,2,212,3.86,1.93
52,0,1,3,0,216,5.42,2.71
53,0,5,3,0,-4,4.44,2.22
54,0,3,3,0,119,4.92,2.46
55,0,3,3,0,23,3.6,1.8
56,0,3,3,0,142,4.8,2.4
57,1,194,3,0,170,4.38,2.19
