vessel,capacity,eta
0,"[84, 1229]",31
1,"[96, 1135]",17
2,"[66, 1454]",6
3,"[72, 1315]",27
4,"[81, 1306]",2
5,"[81, 693]",24
6,"[83, 1337]",28
7,"[85, 1137]",17
8,"[71, 956]",39
9,"[84, 1257]",35
10,"[95, 1316]",10
11,"[73, 1087]",14
12,"[76, 1180]",42
13,"[74, 1200]",17
14,"[83, 871]",12
15,"[84, 1229]",31
16,"[96, 1135]",17
17,"[66, 1454]",6
18,"[72, 1315]",27
19,"[81, 1306]",2
20,"[81, 693]",24
21,"[83, 1337]",28
22,"[85, 1137]",17
23,"[71, 956]",39
24,"[84, 1257]",35
25,"[95, 1316]",10
26,"[73, 1087]",14
27,"[76, 1180]",42
28,"[74, 1200]",17
29,"[83, 871]",12
